0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Economic activities,Code1,2023,,Criteria for a substantial contribution,,,,,,,,2022,,
,,Capital ex- penditure2expenditure2,Proportion of capital,Climate change mitigation,Climate change adaptation,Water,Circular economy,Pollution,Biodiversity,"DNSH criteria (""do no signifi- cant harm"")5",safeguards Minimum,Proportion of Taxono- my-aligned (A.1) or Taxon- omy-eligible (A.2) Capital expenditure,Category: enabling activity,Category: transitional activity
,,in millions of euros,in %,Y; N; N/EL3,Y; N; N/EL3,Y; N; N/EL3,Y; N; N/EL3,Y; N; N/EL3 Y;,N; N/EL3,Y/N,Y/N,in %,E,T
A. TAXONOMY-ELIGIBLE ACTIVITIES,,,,,,,,,,:unselected:,:unselected:,,,
A.1 Environmentally sustainable activities (Taxonomy-aligned),,,,,,,,,,,,,,
Manufacture of low-carbon technologies for transport,CCM 3.3,"4,605",21%,Y,N,N/EL,N/EL,N/EL,N/EL,"Y
:selected:",Y,20%,E,
"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5,585,3%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,Y,Y,2%,,
Infrastructure enabling low-carbon road transport and public transport,CCM 6.15,30,0%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,"Y
:selected:",Y,-,E,
Capital expenditure of environmentally sustainable activities (Taxonomy-aligned) (A.1),,"5,220",24%,100%,0%,0%,0%,0%,0%,"Y
:selected:",Y,22%,,
of which enabling activity,,"4,635",22%,100%,0%,0%,0%,0%,0%,Y,Y,20%,E,
of which transitional activity,,0,0%,0%,,,,,,,,0%,,T
A.2 Taxonomy-eligible activities that are not environmentally sustain- able (not Taxonomy-aligned activities),,,,,,,,,,,,,,
,,,,EL; N/EL4,EL; N/EL4,EL; N/EL4,EL; N/EL4,EL; N/EL4,EL; N/EL4,,,,,
Manufacture of low-carbon technologies for transport,CCM 3.3,"4,065",19%,EL,EL,N/EL,N/EL,N/EL,N/EL,,,22%,,
"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5,"12,186",57%,EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,56%,,
Capital expenditure of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities) (A.2),,"16,251",76%,100%,0%,0%,0%,0%,0%,,,78%,,
A. Capital expenditure of Taxonomy-eligible activities (A.1 + A.2),,"21,471",100%,100%,0%,0%,0%,0%,0%,,,100%,,
B. TAXONOMY NON-ELIGIBLE ACTIVITIES,,,,,,,,,,,,,,
Capital expenditure of Taxonomy non-eligible activities,,0,0%,,,,,,,,,0%,,
Total (A + B),,"21,471",100%,,,,,,,,,100%,,
