0,1,2,3,4
Standard,Disclosure,Reference,Additional information and reasons,External audit*
2-25,Processes to remediate negative impacts,"7 SR . Sustainable corporate governance . Risk and opportunity management 7 SR . Integrity and compliance . Value-based compliance management
:selected: :selected:",,"partially, NFD"
,,"7 SR > Integrity and compliance . The Compliance Management System 7 SR . Integrity and compliance . The Whistleblower System BPO
:selected: :selected:",,
,,"@ AR . Risk and Opportunity Report @ AR . Non-Financial Declaration
:selected: :selected:",,
2-26,Mechanisms for seeking advice and rais- ing concerns,"7 SR . Integrity and compliance . Information, dialogue
:selected:",,"partially, NFD"
,,and training,,
,,"@ AR > Non-Financial Declaration . Integrity and compliance
:selected:",,
2-27,Compliance with laws and regulations,"7 SR . Integrity and compliance . How legal proceedings are handled 7SR . Air quality . The latest diesel engines cause less nitrogen oxide emissions
:selected: :selected:",,no
,,"AR > Non-Financial Declaration . Integrity and compliance
:unselected:",,
,,"AR . Risk and Opportunity Report . Legal risks AR . Notes to the Consolidated Financial Statements > Provisions for other risks AR . Notes to the Consolidated Financial Statements · Legal proceedings
:unselected: :unselected: :selected:",,
2-28,Membership associations,"7 SR . Partnerships and political commitment > Involvement in sustainability initiatives and associations
:selected:",,no
,,"7 SR . Human Rights . Industry associations, initiatives and standards 7 SR . Memberships, associations and initiatives
:selected: :selected:",,
2-29,Approach to stakeholder engagement,"71 SR . Sustainable corporate governance . Dialogue with stakeholders
:selected:",,"partially, NFD"
,,"7 SR . Partnerships and political commitment . Dialogue with stakeholders 7SR . Human Rights . Stakeholder involvement
:selected: :selected:",,
2-30,Collective bargaining agreements,"7 SR . People . Attractive and transparent remuneration 71 SR . People . Dialogue with employee representatives
:selected: :selected:","Throughout the Group, most employees are remunerated according to collective bargain- ing agreements. At Mercedes-Benz Group AG, Mercedes-Benz AG and other company units, these apply to all employees who are covered by collective agreements. No specific percentage figures are currently obtained.",no
