0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,2023,,,Substantial contribution criteria,,,,,,Criteria for absence of significant harm (“DNSH”).,,,,,,to,,,
,,CapEx,of CapEx,change,to climate,marine,Economy,,and,change,to climate,marine,Economy,,and,guarantees,of CapEx that conforms,facilitating,transitional
,,Absolute,Proportion,mitigation,Adaptation,"resources
and",,Pollution,"ecosystems
Biodiversity",mitigation,Adaptation,"resources
and",,Pollution,"ecosystems
Biodiversity",Minimum,"Proportion
year 2022",Category,Category
,,,,,,,,,,,,,,,,,,,
,Codes,,,Climate,change,Water,Circular,,,Climate,change,Water,Circular,,,,,activity,activity
,,,,,,,,,,,,,,,,,the,,
A. ELIGIBLE ACTIVITIES ACCORDING TO THE TAXONOMY,,,,,,,,,,,,,,,,,,,
A.1. Environmentally sustainable activities (conforming the taxonomy),,,,,,,,,,,,,,,,,,,
Manufacturing of automotive and mobility components,CCM 3.18,19.6,2.1%,S,N/EL,N/EL,N/EL,N/EL,N/EL,S,S,S,S,S,S,S,0%,F,
CapEx of environmentally sustainable activities (conforming to the taxonomy) (A.1),,19.6,2.1%,2.1%,0%,0%,0%,0%,0%,S,S,S,S,S,S,S,0%*,,
Of which: facilitating :unselected:,,19.6,100%,100%,0%,0%,:unselected: 0%,0%,0%,S,S,S,S,S,S,S,0%,F,
Of which: transitional :unselected:,,0,0%,0%,,,,,,S,S,S,S,S,S,S,0%,,T
A.2. Activities eligible according to the taxonomy but not environmentally sustainable (activities that do not conform to the taxonomy),,,,,,,,,,,,,,,,,,,
"Manufacture of batteries, cells and accumulators",CCM 3.4,133.5,14.1%,EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,11.8%,,
Manufacturing of automotive and mobility components,CCM 3.18,25.0,2.6%,EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0%,,
CapEx from activities eligible according to the taxonomy but not environmentally sustainable (activities that do not conform the taxonomy) (A.2),,158.5,16.7%,16.7%,0%,0%,0%,0%,0%,,,,,,,,11.8%,,
A. CapEx of eligible activities according to taxonomy (A.1+A.2),,178.1,18.8%,18.8%,0%,0%,0%,0%,"0%
:unselected:",,,,,,,,11.8%,,
B. ACTIVITIES NOT ELIGIBLE ACCORDING TO THE TAXONOMY,,,,,,,,,,,,,,,,,,,
CapEx from non-eligible activities according to taxonomy (B),,771.56 €,81.2%,,,,,,,,,,,,,,,,
Total,,949.67 €,100%,,,,,,,,,,,,,,,,
