0,1,2
GRI Standard,Divulgation,Annual report reference
GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or",The Double Materiality analysis does not identify Biodiversity
,"adjacent to, protected areas and areas",
,of high biodiversity value outside protected areas,"and ecosystems as material after
carrying out an exhaustive analysis"
,"304-2 Significant impacts of activities, products and services on biodiversity","of their most relevant impacts, risks and opportunities. Gestamp will monitor its interaction with"
,304-3 Habitats protected or restored,"biodiversity for a possible update in future years. However, Gestamp reports information on biodiversity in the following section of the 2023 Annual Report: Environmental Dimension / Environmental Management / Protected areas and biodiversity"
GRI 305: Emissions 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected,Environmental Dimension / Road to neutrality / Metrics and targets
,by operations,Environmental Dimension / Road to neutrality / Metrics and targets
,305-1 Direct (Scope 1) GHG emissions,Environmental Dimension / Road to neutrality / Metrics and targets
,305-2 Energy indirect (Scope 2) GHG emissions,Environmental Dimension / Road to neutrality / Metrics and targets
,305-3 Other indirect (Scope 3) GHG emissions,Environmental Dimension / Road to neutrality / Metrics and targets
,305-4 GHG emissions intensity,Environmental Dimension / Road to neutrality / Metrics and targets
,305-5 Reduction of GHG emissions,Environmental Dimension / Road to neutrality / Metrics and targets
GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,Environmental Dimension / Environmental Management / Waste management
,306-2 Management of significant wasterelated impacts,Environmental Dimension / Environmental Management / Waste management
,306-3 Waste generated,Environmental Dimension / Environmental Management / Waste management
