0,1,2,3
Nature of quantifiable criterion,Maximum variable portion as a % of annual fixed compensation,Maximum variable portion obtained as a % of annual fixed compensation(3),Percentage of achievement versus maximum
EBIT,18%,15.75%(4),87.5%
Free cash flow,18%,14.31%(5),79.5%
Net income,16%,0% (6),0%
Group order intake,18%,18%(7),100%
TOTAL QUANTIFIABLE CRITERIA,70%,48.06%,68.66%
Qualitative criteria,,,
Nature of qualitative criterion,"Maximum variable portion as a % of annual fixed
compensation","a % of annual fixed
Maximum variable portion obtained as compensation",Percentage of achievement versus maximum
Strategic vision,,,
This criterion is assessed in particular against the following elements:,,,
"· validation by the Board of Directors of the strategy presented by the Chief Executive Officer and quality of communication of this strategy inside and outside the company; · quality of financial communication, · quality of the Group's technological roadmap.",14%,11.67%(8),83.33%
Risk management,,,
This criterion is assessed in particular against the following elements:,,,
· compliance: (i) deployment of the new code of business ethics drafted in 2022 in all regions where the Group operates; (ii) implementation of a new organization of the compliance department with redefinition of the roles and responsibilities of compliance champions; (iii) adjustment and deployment of a whistleblowing system in line with the new regulation involving the implementation of a system for each of the Group's legal entities;,12%,,
· management of operational risk;,,12% (9),100%
· management of inflation-related impacts (customer compensation in line with the budget);,,,
"· quality of management of material and component shortages, in particular electronic components (number of vehicles impacted maintaining Valeo among the most efficient equipment manufacturers in this field).",,,
Corporate social responsibility,,,
"CSR is assessed in particular against the following elements: · safety performance, with the objective of maintaining a frequency rate in line with the automotive benchmark (FR1<1.1)(2); · progression of the Gender Equity index (reaching level 88 of the index) and improvement of the rate of women externally recruited by at least 10% compared to 2022 (M&Ps population).",12%,11.40%(10),95%
CAP 50 Reduction trajectory of CO2 emissions in line with the CAP 50 plan: the objective is to limit CO2 emissions below 46.6 Mt in 2023.,12%,12% (11),100%
TOTAL QUALITATIVE CRITERIA,50%,47.07%,94.14%
TOTAL QUANTIFIABLE AND QUALITATIVE CRITERIA,120%,95.13%,79.28%
