0,1,2,3,4,5,6,7
2016 plan,2017 plan,2018 plan,2019 plan,2020 plan,2021 plan,2022 plan,2023 plan
05/26/2016,05/26/2016,05/26/2016,05/23/2019,05/23/2019,05/26/2021,05/26/2021,05/24/2023
05/26/2016,03/22/2017,03/22/2018,05/23/2019,03/24/2020,05/26/2021,03/23/2022,05/24/2023
"1,267,022","1,012,043","1,234,623","1,699,281","2,342,306","2,070,829","2,308,057","2,794,057"
-,-,-,-,-,"57,871(4)","100,154(5)","124,124(5)"
-,-,"27,810","56,223","83,997",-,-,-
"70,974","51,030","55,026","87,122(8)","130,000(9)","118,536(10)",-,-
,,,,,,,
-,-,-,-,-,65% (11),-,-
0%(12),0%(13),0%(14),60%(15),80% (16),65% (11),-,-
0% (12),100%,100%,60%-87.5%(17),80%-100%(18),65%-90%(19),,
