0,1,2,3,4,5
Key Performance Indicator,Units,CY2019,CY2020,CY2021,CY2022
,,,,,
CO2 emissions (1),,,,,
CO2 eq. emission - (audited EU ETS emissions) (10),million tonnes,6.35,5.79,5.96,5.82
CO2 emitted by Vattenfall due to combustion of our waste gasses (10),million tonnes,5.50,4.98,5.62,5.26
Air emissions (1),,,,,
Dust,tonnes,"1,881","1,801","1,569","1,518"
Dust intensity,kg/tonnes of crude steel,0.28,0.30,0.24,0.245
NOx (Nitrogen Oxides),tonnes,"6,034","5,132","5,349","4,956"
NOx (Nitrogen Oxides) intensity,kg/tonnes of crude steel,0.91,0.85,0.83,0.80
SO2 (Sulphur dioxide),tonnes,"3,159","3,035","2,793","2,928"
SO2 (Sulphur dioxide) intensity,kg/tonnes of crude steel,0.48,0.50,0.43,0.47
Air emissions (2),,,,,
Dust (3),tonnes,1.73,1.57,1.76,1.86
NOx (Nitrogen Oxides) (4),tonnes,49.95,54.69,47.47,43.16
SO2 (Sulphur dioxide) (5),tonnes,0.86,0.90,0.74,0.46
Water (1),,,,,
Water consumption,million m3,32.6,32.3,32.5,32.2
Specific water consumption,m3/tonnes of crude steel,4.93,5.20,4.88,5.19
Waste water discharge volume,million m3,194,185,213,212 19
Waste water discharge intensity,m3/tonnes of crude steel,29.0,30.4,32.1(11),34.2
Water (2),,,,,
Water consumption,million m3,3.13,2.8,2.81,2.50
