0,1,2,3
Areas,Principles,GRI codes,Section number(s) and/or URL(s)
1. Human rights,1. Businesses should support and respect the protection of internationally proclaimed,410-1,3.1.5/ 7.1.1
,human rights,411-1,3.1.7
,,412-119,3.1.5 / 3.1.7 / 3.3.7 / 7.1 / 7.2 / 7.2.8
,,412-219,3.1.5/ 3.2.7 / 3.2.8 / 3.4.7 / 5.1.7 / 7.1.7.1 / 7.2.2.7 / Vigilance Plan
,,413-1,3.1.4 / 3.4.4 / 7.3.4 / 7.3.7
,,413-2,6.3 / 6.5 / 6.6 / Vigilance Plan
,2. Business should make sure that they are not complicit in human rights abuses,412-219,3.2.7 /3.2.8 / 7.1.7.1 / 7.2.2.7
,,412-319,7.1.5 / 7.1.7
,,414-1,7.1.5 / 7.1.7.3
,,414-2,7.1.7.3 / 7.1.8 / 7.2.5 / 7.2.6 / 7.2.8 / Vigilance Plan
2. Labor standards,3. Businesses should uphold the freedom of association,2-30,3.1.4 / 3.1.5
,and the effective recognition of the right to collective bargaining,402-1,3.1.4
,,407-1,7.1.8.1 / 7.2.2.7 / Vigilance Plan
,4. Businesses should uphold the elimination of all forms of forced compulsory labour,409-1,7.1.8 / 7.2.3 / 7.2.7
,5. Businesses should uphold the effective abolition of child labor,408-1,7.1.8 / 7.2 / Vigilance plan
,6. Businesses should uphold the elimination of discrimination in respect of,2-7,1.1.1 / 3.3.7 / 3.1.8
,employment and occupation,2-8,3.1.7 / 3.1.8
,,202-1,3.2.8
,,202-2,3.3.8
,,401-1,3.1.7 / 3.1.8 / 3.2.3
,,401-3,3.3.7
,,404-3,3.2.7
,,405-1,3.3.7 / 3.3.8
,,405-2,3.2.8 / 3.3.8 / 5.1.3.1
,,406-1,3.3.7
3. The environment,7. Businesses should support a precautionary approach to environmental challenges,201-2,1.1.4
,,301-1,6.1.8
,,302-1,2.6.3.1 / 2.6.4.2
,,303-1,6.6.4.1 / 6.6.5
,,305-1,2.6.3.1 / 2.6.4.1
,,305-2,2.6.3.1 / 2.6.4.1
,,305-3,2.5.4 / 2.7
,,305-6,6.5.4.1 / 6.5.5
,,305-7,6.5.4.1 / 6.5.5
