0,1
October 2023,
"October 31, 2023",Valeo announces the sale of its thermal systems business in Russia to NPK Avtopribor
"October 27, 2023",Valeo's windshield wipers once again awarded first place in Auto Plus comparison test
"October 26, 2023",Press release - Q3 2023 sales
"October 6, 2023",Valeo completes a €600 million debut green bond and welcomes the European Investment Bank for its important participation
September 2023,
"September 25, 2023",ESTACA and Valeo sign a partnership agreement to work together towards the mobility of tomorrow
"September 18, 2023",Valeo announced a new edition of its employee share offering
"September 14, 2023","Valeo receives the Jury's Prize at the Zepros Awards de l'Auto for its engagement and actions in terms of sustainable development, CSR and remanufacturing"
"September 11, 2023",Valeo at Busworld Europe 2023 to present its sustainable thermal management solutions
"September 4, 2023",Mobileye and Valeo launch a partnership for world-class imaging radars
"September 4, 2023","Valeo launches Valeo anSWer, its offer for software solutions and services on demand"
August 2023,
"August 18, 2023",Valeo announces the sale of its propulsion systems business in Russia to NPK Avtopribor
"August 30, 2023",Valeo showcases its technologies for the software-defined vehicle and the future of mobility at IAA Mobility 2023
July 2023,
"July 27, 2023",Press release - H1 2023 Results
June 2023,
"June 29, 2023","Valeo announced the launch of Canopy, the first wiper blade designed to reduce CO2 emissions"
"June 22, 2023","Valeo announced it would be taking part in Rematec, the world's leading remanufacturing trade show for industry professionals, which took place from June 27 to 29 in Amsterdam"
"June 21, 2023","Valeo awarded by Auto Plus for Ineez, a simple electric charging solution adapted to every use"
"June 15, 2023","Valeo announced it would be presenting at the Eurobike 2023 trade show, held from June 21 to 25 in Frankfurt"
"June 14, 2023",VivaTech 2023 - Valeo and Equans sign a partnership to meet the challenges of cities
"June 8, 2023","Valeo presented its solutions for greener, safer and affordable mobility at the SIA Powertrain, held in Paris on June 14 and 15"
May 2023,
"May 29, 2023",Valeo and DiDi Autonomous Driving announced that they had reached a strategic cooperation and investment agreement to jointly develop safety solutions for robotaxis
"May 24, 2023",Valeo's General Shareholders' Meeting 2023
"May 23, 2023",Renault Group and Valeo announced that they had signed a partnership in Software Defined Vehicle development
"May 17, 2023",ZutaCore and Valeo present their new solution for cooling of data centers at Dell Technologies World 2023
"May 16, 2023",Valeo's LiDAR technology receives two new awards
"May 11, 2023",Valeo receives awards from three major clients for its aftermarket activities
"May 4, 2023","At the Car Symposium 2023 (May 3-4, 2023) in Bochum, Germany, leading market participants discuss the key trends in the automotive industry Christophe Perillat, Valeo's Chief Executive Officer, was invited to give a keynote on the ""Next Steps to the Green Car"""
April 2023,
"April 25, 2023",Press release - Q1 2023 sales
"April 21, 2023","Valeo announced it would be presenting its composite solutions at JEC World 2023, from April 25 to 27, for the third consecutive year"
"April 14, 2023","Valeo announced it would be participating in Auto Shanghai 2023, where it presented its latest technologies for smarter, safer and greener mobility"
"April 11, 2023","Valeo announced it would be participating for the first time, from April 12 to April 14, 2023, in the Laval Virtual trade show, during which the Group presented its innovations in the field, both for accelerating the design of solutions and for in-vehicle applications."
