0,1
Highlights,50
Overview,52
Company profile,52
Legal structure,52
Valeo's tax policy,52
Operational organization,53
Comfort & Driving Assistance Systems (CDA),54
Powertrain Systems (PTS),58
Thermal Systems (THS),62
Visibility Systems (VIS),66
Valeo Service (VS),70
Geographic and industrial footprint,74
Functional structure,75
Internal Audit and Control,75
Sales and Business Development,76
Communications,76
"Ethics, Compliance and Personal Data Protection Office",77
Finance,77
Legal,79
Purchasing,80
Research and Development and Product Marketing,81
Human Resources,82
