0,1,2,3
No.,Headings appearing in Appendix 1 of the Regulation,Chapters/Sections,Pages
19.,Additional information,,
19.1,Share capital,,
19.1.1,Amount of issued capital,"5.4.6 (Note 10.1), 6.4.1, 6.4.2 and 6.6.1",375-376; 429; 430-431; 437
19.1.2,Shares not representing capital,6.6.3,439
19.1.3,Shares held by or on behalf of the issuer itself or by its subsidiaries,6.5.2,435
19.1.4,"Convertible securities, exchangeable securities or securities with warrants",6.6.2,437-439
19.1.5,Information about the terms of any acquisition rights and/or obligations over authorized but unissued capital or an undertaking to increase the capital,3.2.12,150-151
19.1.6,Information about any capital of any member of the Group which is under option or agreed conditionally or unconditionally to be put under option,6.6.4,440
19.1.7,Share capital history,6.6.1,437
19.2,Memorandum and articles of association,,
19.2.1,Description of the issuer's objects and purposes,7.1.5,442
19.2.2,"Description of the rights, preferences and restrictions attaching to each class of existing shares",7.1.8; 7.1.9 and 7.1.11,442; 443
19.2.3,"Brief description of any provision of the issuer's articles of association, statutes, charter or bylaws that would have an effect of delaying, deferring, or preventing a change in control of the issuer",3.2.11,149
20.,Material contracts,,
20.1,Summary of each material contract to which the issuer or any member of the Group is party,7.3,446
21.,Documents available,,
21.1,Statement regarding documents that can be inspected for the term of the Universal Registration Document,7.4,446-451
