0,1,2,3,4,5,6,7,8
PERFORMANCE CRITERIA(6),,,,,,,,
"· Chairman and Chief Executive Officer, Deputy Chief Executive Officer",Operating margin - ROCE - ROA rate,Operating margin - ROCE -,"Operating margin - ROCE -
:unselected:
:unselected:
:unselected:","Operating margin - ROA -
:unselected:
:unselected:
:unselected:","Operating margin - ROA -
:selected:
:unselected:
:unselected:","EBITDA - ROCE rate - TSR rate -
:unselected:
:unselected:
:unselected:","EBITDA - ROCE rate - TSR rate - CSR
:unselected:
:unselected:
:unselected:","EBIT - ROCE rate - TSR rate - CSR
:unselected:
:unselected:
:unselected:"
"(under the 2021 plan), Chief Executive Officer (under the 2022 plan), Executive Commitee (formerly Operations Committee)",,ROA rate,ROA rate,TSR rate,TSR rate,CSR,,
"· Liaison Committee and Liaison Committee
main direct reports of the","Operating rate
margin-ROCE","Operating rate
margin- ROCE","Operating rate
margin-ROCE",Operating margin - ROA rate,"Operating margin - ROA rate
:unselected:","EBITDA - ROCE rate - CSR
:unselected:
:unselected:","EBITDA -
ROCE rate -
CSR
:unselected:
:unselected:","EBIT - ROCE
rate - CSR"
· High-potential managers,-,-,-,"-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:",-
· All employees,-,-,"-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:",-
PERFORMANCE CRITERIA - RATE OF ACHIEVEMENT,,,,,,,,
· Chairman and Chief,0%(7),0% (8),0%(9),60% (10),80% (11),65% (12),,
"Executive Officer, Deputy Chief Executive Officer (under the 2021 plan), and Chief Executive Officer (under the 2022 plan), Executive Committee (formerly Operations Committee)",-,-,-,-,-,,,
,0%(7),100%,100%,60%(10),80%(11),65% (12),,
· Liaison Committee and main direct reports of the Liaison Committee members,0%(7) 0%(7),100% 100%,100% 100%,75% 87.5%,100% 100%,65% 90%,,
,,,,,,,,
· High-potential managers,-,-,-,-,-,-,-,-
· All employees,-,-,-,-,-,-,-,-
"Number of shares vested at Dec. 31, 2023 (cumulative)","274,341","579,305","735,608","944,760","1,494,751","12,358","12,166",0
"Number of stock options canceled or forfeited at Dec. 31, 2023 (cumulative)","642,060","193,267","227,495","420,651","377,589","172,453","142,197","44,343"
"Number of shares outstanding at Dec. 31, 2023",0,0,0,"241,812","259,786","1,686,937","2,153,694","2,749,714"
"Number of grantees at Dec. 31, 2023",0,0,0,"11,771","12,759","29,621","37,162","40,320"
