0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
Valeo Shanghai Automotive Electric Motors & Wiper Systems Co. Ltd,FC,100,FC,100
Wuhu Valeo Automotive Lighting Systems Co. Ltd(3),-,-,FC,94.2
Wuxi Valeo Automotive Components and System Co. Ltd,FC,100,FC,100
Changshu Valeo Automotive Wiper System Co. Ltd,FC,100,FC,100
Shanghai Valeo Pyeong Hwa International Co. Ltd,FC,50,FC,50
Valeo eAutomotive (Shenzhen) Co. Ltd,FC,100,FC,100
Valeo Automotive ePowertrain Systems (Shanghai) Co. Ltd,FC,100,FC,100
Valeo Bluepark Automotive E-Drive Systems (Changzhou) Co. Ltd,FC,60,FC,60
Foshan Valeo Electronic Auto Parts Co. Ltd,FC,100,FC,100
Valeo Thermal Commercial Vehicles System (Suzhou) Co. Ltd,FC,100,FC,100
Ichikoh (Wuxi) Automotive Parts Co. Ltd(3),-,-,FC,61.2
Valeo Powertrain (Nanjing) Co. Ltd,FC,100,FC,100
Valeo Powertrain (Shanghai) Co. Ltd,FC,100,FC,100
Valeo ePowertrain (Tianjin) Co. Ltd.,FC,100,FC,100
Valeo eAutomotive (Changshu) Co. Ltd.,FC,100,FC,100
APG-FTE automotive Co. Ltd(3),-,-,EM,49
Fawer Valeo eAutomotive Parts Changshu,EM,49.5,EM,49.5
FTE automotive (Taicang) Co. Ltd,FC,100,FC,100
Suzhou Valeo PyeongHwa Dongfeng Clutch Co. Ltd(3),-,-,FC,26.25
Zhihui Valeo (Zhejiang) Auto Parts Co. Ltd(1),EM,20,-,-
Valeo Mobility Systems (Shanghai ) Co. Ltd(1),FC,100,-,-
Valeo Detection Systems (Shenzhen) Co. Ltd,FC,100,FC,100
INDIA,,,,
Amalgamations Valeo Clutch Private Ltd,EM,50,EM,50
Valeo Friction Materials India Ltd,FC,60,FC,60
Valeo India Private Ltd,FC,100,FC,100
Valeo Motherson Thermal Commercial Vehicles India Ltd,EM,51,EM,51
