0,1,2
EUROPEAN UNION,,
"FRANCE GERMANY, IRELAND",Valeo Équipements Électriques Moteur,100%
,Valeo Vision,100%
,Valeo Systèmes Thermiques,100%
,DAV,100%
,Valeo Embrayages,100%
,Valeo Service,100%
,Valeo Schalter und Sensoren GmbH,100%
,Valeo eAutomotive Germany GmbH,100%
,Valeo Klimasysteme GmbH,100%
,Valeo Wischersysteme GmbH,100%
,Connaught Electronics Limited,100%
"SPAIN, ITALY",Valeo España S.A.,100%
,"Valeo Termico, SAU",100%
,Valeo S.p.A.,100%
"HUNGARY, POLAND, CZECH REPUBLIC, ROMANIA",Valeo Auto-Electric Hungary LLC,100%
,Valeo eAutomotive Hungary Kft.,100%
,Valeo Autosystemy Sp.ZO.O.,100%
,Valeo Electric and Electronic Systems Sp.ZO.O.,100%
,Valeo Autoklimatizace k.s.,100%
,Valeo Lighting Injection SA,100%
EUROPE OUTSIDE THE EU,,
TURKEY,Valeo Otomotiv Sanayi ve Ticaret A.S.,100%
AFRICA,,
MOROCCO,"Valeo Vision Maroc, SA",100%
NORTH AMERICA,,
UNITED STATES,"Valeo North America, Inc",100%
MEXICO,"Valeo Sistemas Electricos, SA de CV",100%
,"Valeo Sistemas Automotrices de México, SA de CV",100%
,Delmex de Juarez S de RL de CV,100%
,"Valeo Kapec, SA de CV",50%
SOUTH AMERICA,,
BRAZIL,Valeo Sistemas Automotivos Ltda,100%
ASIA,,
CHINA,Valeo Interior Controls (Shenzhen) Co. Ltd,100%
,Valeo Automotive Air Conditioning Hubei Co. Ltd,100%
,"Valeo Ichikoh (China) Auto Lighting Co., Ltd",94.2%
,Valeo Compressor (Changchun) Co.,100%
,Foshan Ichikoh Valeo Auto Lighting Systems Co. Ltd,94.2%
,Nanjing Valeo Clutch Co. Ltd,37.5%
"SOUTH KOREA, JAPAN",Valeo Kapec Co. Ltd,50%
,Valeo Pyeong HWA Co. Ltd,50%
,"Valeo Electrical Systems Korea, Ltd",100%
,Ichikoh Industries Limited,61.2%
,Valeo Japan Co. Ltd,100%
INDIA,Valeo India Private Ltd,100%
