0,1,2,3,4,5
,2019,2020,2021,2022,2023
1. SHARE CAPITAL AT DECEMBER 31,,,,,
Share capital (in millions of euros),241,242,243,244,245
Number of ordinary shares outstanding,"241,036,743","241,717,403","242,574,781","243,501,944","244,633,504"
Maximum number of new shares to be issued:,"—
:unselected:","—
:unselected:",—,"—
:unselected:",
· on exercise of equity warrants,"—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:",
· on exercise of stock subscription options,"—
:unselected:","—
:unselected:","—
:unselected:",—,
· on conversion of bonds into new shares,"—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:",
2. RESULTS OF OPERATIONS FOR THE YEAR (in millions of euros),,,,,
Sales,"—
:unselected:","—
:unselected:",—,—,
"Income before tax, depreciation, amortization and impairment losses",372,321,216,189,178
Income tax,"14
:selected:",2,3,7,8
Employee profit-sharing,"—
:unselected:","—
:unselected:",—,—,
Net income,282,200,148,203,194
Net dividend,48,72,84,92,98
3. PER-SHARE DATA (in euros),,,,,
"Net income after tax, but before depreciation, amortization and impairment losses",1.61,1.33,0.91,0.81,0.76
Earnings per share,1.18,0.83,0.61,0.84,0.79
Net dividend,0.20,0.30,0.35,0.38,0.40
4. PERSONNEL,,,,,
Headcount at December 31,1,1,3,3,3
Wages and salaries (in millions of euros)(1),25,26,38,55,31
Social security contributions (in millions of euros)(2),—,8,2,(4),(1)
