0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
UKRAINE,,,,
CloudMade Ukraine LLC,EM,50,EM,50
Spheros-Elektron TzOV,EM,20,EM,20
TURKEY,,,,
Valeo Otomotiv Sanayi ve Ticaret AS,FC,100,FC,100
Valeo Ticari Tasitlar Termo Sistemleri AS,FC,100,FC,100
AFRICA,,,,
TUNISIA,,,,
DAV Tunisie SA,FC,100,FC,100
Valeo Embrayages Tunisie SA,FC,100,FC,100
Valeo Tunisie SA,FC,100,FC,100
MOROCCO,,,,
"Valeo Vision Maroc, SA",FC,100,FC,100
EGYPT,,,,
Valeo Internal Automotive Software Egypt,FC,100,FC,100
Valeo Detection Systems LLC,FC,100,FC,100
SOUTH AFRICA,,,,
Valeo Systems South Africa (Proprietary) Ltd,FC,51,FC,51
Valeo Thermal Commercial Vehicles South Africa (Pty) Ltd,FC,100,FC,100
Valeo Thermal Systems East London (Pty) Ltd,FC,51,FC,51
NORTH AMERICA,,,,
UNITED STATES,,,,
"Valeo North America, Inc.",FC,100,FC,100
"Valeo Radar Systems, Inc.",FC,100,FC,100
Detroit Thermal Systems LLC,EM,49,EM,49
"CloudMade, Inc.",EM,50,EM,50
"Valeo Thermal Commercial Vehicles North America, Inc.",FC,100,FC,100
"Valeo Kapec North America, Inc.",FC,50,FC,50
"Valeo eAutomotive US, Inc.(3)",-,-,FC,100
Valeo Detection Systems Inc.,FC,100,FC,100
