0,1,2,3,4
(in €),2022,,2023,
,Amount allocated,Amount paid,Amount allocated,Amount paid
"Christophe Périllat(1) Deputy Chief Executive Officer from May 26, 2021 to January 26, 2022, then Chief Executive Officer since January 26, 2022",,,,
Fixed compensation,"958,199(2)","958,199(2)","975,000","975,000"
Annual variable compensation,"1,016,925(3)","390,331(4)","927,518(5)","1,016,925(6)"
Multi-annual variable compensation,-,-,-,-
Exceptional compensation,-,-,-,-
Directors' compensation,-,-,-,-
Benefits in kind,"26,288(7)","26,288(7)","27,237(8)","27,237(8)"
TOTAL,"2,001,412","1,374,818","1,929,755","2,019,162"
