0,1,2,3
,2013 plan,2014 plan,2015 plan
DATE OF SHAREHOLDERS' MEETING,06/04/2012,06/04/2012,05/21/2014
Date of Board of Directors' meeting,03/27/2013,03/27/2014,03/26/2015
Total number of free shares allotted,"1,421,442","970,440","957,027"
"Number of shares conditionally allotted to Christophe Périllat in his capacity as Deputy Chief Executive Officer from May 26, 2021 to January 26, 2022(2) and then Chief Executive Officer as from January 26, 2022(3).",-,-,-
"Number of shares conditionally allotted to Christophe Perillat in his capacity as Chief Operating Officer then Associate Chief Executive Officer under plans still in effect at December 31, 2023(6)",-,-,-
"Number of shares conditionally allotted to Jacques Aschenbroich in his capacity as Chairman and Chief Executive Officer until January 26, 2022(7)","76,902","31,515","30,696"
Performance criteria - rate of achievement,,,
"Deputy Chief Executive Officer from May 26, 2021 to January 26, 2022, then Chief Executive Officer",-,-,-
"Chairman and Chief Executive Officer until January 26, 2022",100%,100%,100%
Other,100%,100%,100%
