0,1,2,3,4,5
,Attendance rate at Board meetings(1),Attendance rate at GACSRC meetings(1),Attendance rate at CC meetings(1),Attendance rate at ARC meetings(1),Attendance rate at SC meetings(1)
Gilles Michel,,,N/A,N/A,
(Chairman of the Board of Directors and an independent director),10/10,N/A,,,N/A
Christophe Périllat (Chief Executive Officer and a director),10/10,N/A,N/A,N/A,N/A
Bruno Bézard,,N/A,N/A,5/5,N/A
(Independent director),9/10,,,,
Bpifrance Participations,,,,5/5,
Represented by Alexandre Ossola (Independent director),10/10,N/A,N/A,,N/A
Éric Poton,10/10,N/A,N/A,5/5,N/A
(Director representing employees),,,,,
Alexandre Dayon (Independent director),10/10,N/A,N/A,N/A,6/6
Stéphanie Frachet (Independent director),10/10,4/4,5/5,N/A,6/6
Fonds Stratégique de Participations,,,,,
Represented by Julie Avrane (Independent director),10/10,N/A,N/A,5/5,N/A
Mari-Noëlle Jego-Laveissière (Independent director),10/10,N/A,N/A,5/5,N/A
Thierry Moulonguet (Director),10/10,N/A,N/A,5/5,6/6
Patrick Sayer (Independent director),10/10,2/4,3/5,N/A,6/6
Ulrike Steinhorst (Director),10/10,4/4,4/5,N/A,6/6
Grzegorz Szelag (Director representing employees),10/10,3/3 (2),5/5,N/A,N/A
Véronique Weill (Independent director),9/10,4/4,5/5,4/5,N/A
TOTAL,98.57%,89.47%,88%,97.14%,100%
