0,1,2,3
,Annual Financial Report,Chapters/Sections,Pages
1.,Parent company financial statements,5.6,395-420
2.,Consolidated financial statements,5.4,305-392
3.,Management Report (French Monetary and Financial Code),,
3.1,Articles L. 225-100-1 and L. 22-10-35 of the French Commercial Code,,
3.1.1,· Analysis of business trends,"5.1.1, 5.1.2, 5.1.3",296-300
3.1.2,· Analysis of results,"5.1.1, 5.1.2, 5.1.3",296-300
3.1.3,· Analysis of financial position,5.1.4,301-304
3.1.4,"· Key financial and non-financial performance indicators related to the Company's specific business, such as information pertaining to environmental issues and personnel matters",4.5 and 5.1,274-279; 296-304
3.1.5,· Principal risks and uncertainties,2.1,84-94
3.1.6,· Financial risks related to the impacts of climate change and measures taken by Company to reduce them by implementing a low-carbon strategy in all components of its business,4.1.3; 4.2.2; 4.2.3,193-196; 197-208; 239
3.1.7,· Internal control and risk management procedures,2.3,94-101
3.1.8,"· Company hedging objectives and policy, and exposure to price, credit, liquidity and cash flow risks",2.1.3 and 5.4.6 (Note 6.3),93;410
3.2,Article L. 225-211 of the French Commercial Code:,,
3.2.1,· Buyback by the Company of its own shares,6.5,434-437
4.,Declaration by the person responsible for the Annual Financial Report,7.6.2,453
5.,Statutory Auditors' report on the parent company financial statements,5.6.5,417-421
6.,Statutory Auditors' report on the consolidated financial statements,5.4.7,388-393
7.,Fees paid to the Statutory Auditors,"5.4.6 (Note 12), 5.6.4 (Note 10.4) and 7.5.2",379; 415; 452
8.,"Board of Directors' report on corporate governance, prepared in accordance with Article L. 225-37 of the French Commercial Code",See dedicated cross-reference table in section 8.1.4,462
9.,Statutory Auditors' report on the Corporate Governance Report,5.6.5,417-421
