0,1,2,3
Authorizations granted Date of Shareholders' Meeting,Maximum amount of issue,Maximum amount of debt securities,Comments on/Utilization of authorizations during the year
(duration of authorization/delegation and expiration date),,,
1. AUTHORIZATION TO INCREASE CAPITAL WITH PRE-EMPTIVE RIGHTS,,,
Delegation of authority to issue,70 million euros,1.5 billion euros,Delegation of authority replacing
shares and/or securities giving immediate or future access to the share capital of the Company or one of its subsidiaries (A),"(A) + (C) + (D) + (E) + (F) + (G) + (H) combined share capital ceiling (the ""Combined Share",(A) + (C) + (D) + (E) + (F) + (G) + (H) combined debt ceiling,"the previous delegation granted by the Shareholders' Meeting held on May 26, 2021 (17"""" resolution) for the same"
"Shareholders' Meeting held on May 24, 2023 - 18"" resolution","Capital Ceiling"") = 131 million euros","(the ""Combined Debt Ceiling"") = 1.5 billion euros","purpose
Resolution may not be used in"
"Expiring on July 24, 2025 (26 months)",,,"the event of a public tender offer
Not used during the year"
"Delegation of authority to increase the share capital by capitalization of reserves, profits, additional paid-in capital or other amounts that may be capitalized (B)",30 million euros,N/A,"Delegation of authority replacing the previous delegation granted by the Shareholders' Meeting held on May 26, 2021 (22nd resolution) for the same"
"Shareholders' Meeting held on May 24, 2023 - 23rd resolution Expiring on July 24, 2025 (26 months)",,,purpose Resolution may not be used in the event of a public tender offer Not used during the year
2. AUTHORIZATION TO INCREASE CAPITAL WITHOUT PRE-EMPTIVE RIGHTS,,,
Delegation of authority to issue,23 million euros,1.5 billion euros,Delegation of authority replacing
"shares and/or securities giving immediate or future access to the share capital of the Company or any of its subsidiaries by way of a public offer, other than an offer as defined in Article L. 411-2 of the French Monetary and Financial Code (Code monétaire et financier) (delegation that can also be used as consideration for securities tendered to a public exchange offer initiated by the Company) (C)",Ceiling for (C) + (D) + (E) + (F) + (H) Included in the Combined Share Capital Ceiling,Included in the Combined Debt Ceiling,"the previous delegation granted by the Shareholders' Meeting held on May 26, 2021 (18th resolution) for the same purpose Resolution may not be used in the event of a public tender offer Not used during the year"
"Shareholders' Meeting held on May 24, 2023 - 19th resolution Expiring on July 24, 2025 (26 months)",,,
Delegation of authority to issue shares and/or securities giving immediate or future access to the share capital of the Company or one of its subsidiaries by way of a private placement as defined in,23 million euros Ceiling for (C) + (D) + (E) + (F) + (H) Included in the Combined Share Capital Ceiling,1.5 billion euros Included in the Combined Debt Ceiling,"Delegation of authority replacing the previous delegation granted by the Shareholders' Meeting held on May 26, 2021 (19th resolution) for the same purpose"
"Article 411-2,1° of the French Monetary and Financial Code (D)",,,Resolution may not be used in the event of a public tender offer Not used during the year
"Shareholders' Meeting held on May 24, 2023 - 20"" resolution Expiring on July 24, 2025 (26 months)",,,
Authorization to set the issue price,23 million euros,1.5 billion euros,Authorization replacing the
"of securities, subject to a ceiling
of 10% of the Company's share capital per 12-month period (E)",Ceiling for (C) + (D) + (E) + (F) + (H) Included in the Combined Share Capital Ceiling,Included in the Combined Debt Ceiling,"previous authorization granted
by the Shareholders' Meeting held on May 26, 2021 (20th resolution) for the same purpose"
"Shareholders' Meeting held on May 24, 2023 - 21St resolution",,,
"Expiring on July 24, 2025 (26 months)",,,Resolution may not be used in the event of a public tender offer Not used during the year
