0,1,2,3,4,5,6,7,8
,2016 plan,2017 plan,2018 plan,2019 plan,2020 plan,2021 plan,2022 plan,2023 plan
Date of Board meeting,05/26/2016,03/22/2017,03/22/2018,05/23/2019,03/24/2020,05/26/2021,03/23/2022,05/24/2023
VESTING DATE OF SHARES,,,,,,,,
· Chairman and Chief,France:,France:,France:,France/,France/,France/,France/,France/
Executive Officer (under,05/26/2019,03/22/2020(2) 03/22/2021(3),03/22/2021(2) 03/22/2022(4),Other,Other countries:,Other countries:,Other,Other
the 2016 to 2021 plans),Other,,,countries:,,,countries:,countries:
· Deputy Chief Executive Officer (under the 2021,countries:,Other countries:,Other countries:,05/23/2022,03/24/2023,05/26/2024,03/23/2025,05/24/2026
,05/26/2021,,,,,,,
plan) and Chief Executive Officer (under the 2022 and 2023 plan),,03/22/2021(3),03/22/2022(4),,,,,
· Executive Committee (formerly Operations Committee),,,,,,,,
· Liaison Committee and main direct reports of the Liaison Committee members,"France: 05/26/2019 Other countries:
05/26/2021","Other countries:
France: 03/22/2021(3) 03/22/2021(3)",France: 03/22/2022(4) Other countries: 03/22/2022(4),"countries: 05/23/2022
France/Other","countries: 03/24/2023
France/Other","countries: 05/26/2024
France/Other",France/Other countries: 03/23/2025,France/Other countries: 05/24/2026
· High-potential managers,France: 05/26/2019,France: 03/22/2020,France: 03/22/2021,France/Other countries: 05/23/2022,France/Other countries: 03/24/2023,France/Other countries:,France/Other countries:,France/Other countries:
,"Other countries:
05/26/2021","Other countries:
03/22/2022","Other countries:
03/22/2023",,,05/26/2024,03/23/2025,05/24/2026
· All employees,France: 06/30/2019,"France: 06/30/2020 06/30/2022
Other countries:","France: 06/30/2021 06/30/2023
Other countries:",France/Other countries: 06/30/2022,France/Other countries: 06/30/2023,France/Other countries: 06/30/2024,France/Other countries:,France/Other countries:
,"06/30/2021
Other countries:",,,,,,06/30/2025,06/30/2026
"· ""Employee share ownership""",Spain/Italy:,Spain/Italy:,Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:
,11/15/2019,07/27/2020,06/30/2021,06/27/2022,11/16/2023,11/16/2024,11/17/2025,11/30/2026
,Belgium:,Belgium and,Other,Other,Belgium:,Belgium:,Belgium:,Other
,11/15/2021,Ireland:,countries:,countries:,11/16/2025,11/16/2026,11/17/2027,countries:
,Other countries:,"07/27/2022
Other countries: 06/30/2022",06/30/2023,06/30/2024,"06/30/2025
Other countries:","06/30/2026
Other countries:","06/30/2027
Other countries:",11/30/2026
,06/30/2021,,,,,,,
SHARES AVAILABLE AS AT,,,,,,,,
· Chairman and Chief,05/26/2021,03/22/2022,03/22/2023,05/23/2024,03/24/2025,05/26/2026,03/23/2027,05/24/2028
"Executive Officer (under
the 2016 to 2021 plans)",,,,,,,,
· Deputy Chief Executive Officer (under the 2021 plan) and Chief Executive Officer (under the 2022 plan),,,,,,,,
· Executive Committee (formerly Operations Committee),05/26/2021,(5),(5),"(5)
:selected:","(5)
:selected:",(5),(5),(5)
· Liaison Committee and main direct reports of the Liaison Committee members,05/26/2021,(5),(5),(5),(5),(5),(5),(5)
· High-potential managers,05/26/2021,03/22/2022,03/22/2023,"(5)
:selected:","(5)
:selected:",(5),"(5)
:selected:",(5)
· All employees,France/Other countries: 05/26/2021,France/Other countries: 03/22/2022,France/Other countries: 03/22/2023,"(5)
:selected:","(5)
:selected:","(5)
:selected:","(5)
:selected:",(5)
"· ""Employee share",Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:,Italy/Spain:
ownership”,11/15/2022,07/27/2023,06/30/2024,06/27/2025,11/16/2026,11/16/2027,11/17/2028,11/30/2029
,Belgium:,Belgium/,Other,Other,Belgium:,Belgium:,Belgium:,Other
,11/15/2021,Ireland:,countries:,countries:,11/16/2025 Other,"11/16/2026
Other",11/17/2027,countries:
,Other,07/27/2022,06/30/2023,06/30/2024,,,Other,11/30/2026
,countries:,Other countries: 06/30/2022,,,countries: 06/30/2025,countries: 06/30/2026,countries: 06/30/2027,
,06/30/2021,,,,,,,
