0,1,2,3,4,5,6,7,8
Number of shares outstanding,(in millions of euros),Share capital,"paid-in
Additional
capital","translation
Cumulative
adjustment","Retained
earnings",Total stockholders' equity including non-controlling interests - restated(1),,
,,,,,,"Stockholders'
equity","controlling
Non- interests",Total
"241,726,165","STOCKHOLDERS' EQUITY AT DECEMBER 31, 2021(1)",243,"1,560",(14),"1,906","3,695",796,"4,491"
,Application of amendments to IAS 37(1),"—
:unselected:","—
:unselected:
:unselected:","—
:unselected:",(343),(343),(3),(346)
,First-time application of IAS 29(1),"—
:unselected:","—
:unselected:","—
:unselected:",12,12,—,12
"241,726,165","STOCKHOLDERS' EQUITY AT JANUARY 1, 2022",243,"1,560",(14),"1,575","3,364",793,"4,157"
,Dividends paid(2),"—
:unselected:","—
:unselected:","—
:unselected:","(84)
:selected:",(84),(52),(136)
"(3,031,189)",Treasury shares(3),"—
:unselected:","—
:unselected:","—
:unselected:","(50)
:selected:",(50),—,(50)
"927,163",Capital increase,"1
:unselected:","13
:selected:","—
:unselected:",—,14,—,14
"1,494,228",Share-based payment,"—
:unselected:","—
:unselected:","—
:unselected:",21,21,—,21
,Put options granted(4),"—
:unselected:","—
:unselected:","—
:unselected:",7,7,(2),5
,Other movements,"—
:unselected:","—
:unselected:","—
:unselected:","(1)
:selected:",(1),(11),(12)
,TRANSACTIONS WITH OWNERS,"1
:unselected:","13
:selected:","—
:unselected:",(107),(93),(65),(158)
,Net income for the year,"—
:unselected: :unselected:","—
:unselected:","—
:unselected:",230,230,65,295
,"Other comprehensive income (loss), net of tax","—
:unselected:","—
:unselected:",189,132,321,(3),318
,TOTAL COMPREHENSIVE INCOME,"—
:unselected:","—
:unselected:","189
:selected:",362,551,62,613
"241,116,367","STOCKHOLDERS' EQUITY AT DECEMBER 31, 2022",244,"1,573",175,"1,830","3,822",790,"4,612"
,Dividends paid(2),"—
:unselected:","—
:unselected:","—
:unselected:","(92)
:selected:",(92),(33),(125)
—,Treasury shares,"—
:unselected:","—
:unselected:","—
:unselected:",—,—,—,—
"1,131,560",Capital increase(5),"1
:unselected:","15
:selected:","—
:unselected:","—
:unselected:",16,—,16
"1,673,193",Share-based payment,"—
:unselected:","—
:unselected:","—
:unselected:",25,25,—,25
,Put options granted(4),"—
:unselected:","—
:unselected:","—
:unselected:","(6)
:selected:",(6),(3),(9)
,Other movements,"—
:unselected:","—
:unselected:","(2)
:selected:",1,(1),2,1
,TRANSACTIONS WITH OWNERS,"1
:unselected:","15
:selected:","(2)
:selected:",(72),(58),(34),(92)
,Net income for the year,"—
:unselected:","—
:unselected:","—
:unselected:",221,221,79,300
,"Other comprehensive income (loss), net of tax","—
:unselected:","—
:unselected:",(336),(74),(410),(50),(460)
,TOTAL COMPREHENSIVE INCOME (LOSS),"—
:unselected:","—
:unselected:",(336),147,(189),29,(160)
"243,921,120","STOCKHOLDERS' EQUITY AT DECEMBER 31, 2023",245,"1,588",(163),"1,905","3,575",785,"4,360"
