0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
CANADA,,,,
"Valeo Canada, Inc.",FC,100,FC,100
MEXICO,,,,
"Delmex de Juarez, S de RL de CV",FC,100,FC,100
"Valeo Sistemas Automotrices de México, SA de CV",FC,100,FC,100
"Valeo Sistemas Electricos, SA de CV",FC,100,FC,100
"Valeo Sistemas Electronicos, S de RL de CV",FC,100,FC,100
"Valeo Termico Servicios, S de RL de CV",FC,100,FC,100
"Valeo Mexico Tech Center, SA de CV",FC,100,FC,100
"Valeo Thermal Commercial Vehicles Mexico, SA de CV",FC,60,FC,60
"Valeo Telematica y Acustica, SA de CV",FC,100,FC,100
"Valeo Kapec, SA de CV",FC,50,FC,50
"FTE Mexicana, SA de CV",FC,100,FC,100
SOUTH AMERICA,,,,
BRAZIL,,,,
Valeo Sistemas Automotivos Ltda,FC,100,FC,100
Valeo climatizacao do Brasil - veiculos comerciais S/A,FC,60,FC,60
ARGENTINA,,,,
Emelar Sociedad Anonima,FC,100,FC,100
Valeo Climatizacion de vehiculos comerciales SAS,FC,100,FC,100
COLOMBIA,,,,
Spheros Thermosystems Colombia SAS,FC,50,FC,60
ASIA PACIFIC,,,,
THAILAND,,,,
Valeo Niles (Thailand) Co. Ltd,FC,100,FC,100
Valeo Siam Thermal Systems Co. Ltd,FC,74.9,FC,74.9
Valeo Comfort and Driving Assistance Systems (Thailand) Ltd,FC,100,FC,100
Ichikoh Industries (Thailand) Co. Ltd,FC,61.2,FC,61.2
