0,1,2,3,4,5
(in millions of euros),France,Other European countries,North America,Asia,Total
"BENEFIT OBLIGATIONS AT JANUARY 1, 2023",166,532,415,246,"1,359"
Actuarial gains and losses recognized in other comprehensive income,5,62,19,15,101
Benefits paid,(15),(28),(35),(29),(107)
Translation adjustment,—,(1),(15),(22),(38)
Changes in scope,—,—,—,(5),(5)
Reclassifications,—,—,—,8,8
Expenses (income) for the year:,18,39,32,35,124
· Service cost,14,17,5,27,63
· Interest cost,7,19,22,6,54
· Other(1),(3),3,5,2,7
"BENEFIT OBLIGATIONS AT DECEMBER 31, 2023",174,604,416,248,"1,442"
