0,1,2
,Number of shares,Net carrying amount (in millions of euros)
Valeo Bayen,"189,154,088","4,603"
Valeo International Holding BV,"2,845,121",443
Valeo Otomotiv Sanayi ve Ticaret AS,"121,513,059",40
Valeo Service,"3,260,000",36
Coreval,"928,434",23
Valeo Pyeong Hwa Co. Ltd.,"1,359,405",12
Valeo Auto-Electric GmbH,"1,305",10
Amalgamations Valeo Clutch Private Ltd.,"56,252,500",9
Equipement 11,"32,549",—
Other securities with a net carrying amount below 2 million euros,,7
INVESTMENTS IN SUBSIDIARIES AND AFFILIATES,,"5,183"
Other securities,,—
OTHER INVESTMENT SECURITIES,,—
MONEY MARKET FUNDS,,"2,263"
TREASURY SHARES,,12
TOTAL,,"7,458"
