0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
EUROPE,,,,
FRANCE,,,,
Valeo (parent company),,,,
DAV,FC,100,FC,100
Equipement 2,FC,100,FC,100
Equipement 11,FC,100,FC,100
SC2N,FC,100,FC,100
Valeo Bayen,FC,100,FC,100
Valeo Embrayages,FC,100,FC,100
Valeo Equipements Electriques Moteur,FC,100,FC,100
Valeo Finance,FC,100,FC,100
Valeo Management Services,FC,100,FC,100
Valeo Matériaux de Friction,FC,100,FC,100
Valeo Comfort and Driving Assistance,FC,100,FC,100
Valeo Service,FC,100,FC,100
Valeo Systèmes de Contrôle Moteur,FC,100,FC,100
Valeo Systèmes d'Essuyage,FC,100,FC,100
Valeo Systèmes Thermiques,FC,100,FC,100
Valeo Vision,FC,100,FC,100
Valeo eAutomotive France SAS,FC,100,FC,100
Kuantic(2),-,-,FC,100
Valeo Detection Systems,FC,100,FC,100
Equipement 22,FC,100,FC,100
SPAIN,,,,
"Valeo Climatización, SAU(3)",-,-,FC,100
"Valeo España, SAU",FC,100,FC,100
"Valeo Service España, SAU",FC,100,FC,100
"Valeo Termico, SAU",FC,100,FC,100
ITALY,,,,
"Valeo Service Italia, SpA",FC,100,FC,100
"Valeo, SpA",FC,100,FC,100
