0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
JAPAN,,,,
Ichikoh Industries Limited,FC,61.2,FC,61.2
Kyushu Ichikoh Industries Ltd,FC,61.2,FC,61.2
Misato Industries Co. Ltd(3),-,-,FC,61.2
PIAA Corporation,FC,61.2,FC,61.2
Valeo Japan Co. Ltd,FC,100,FC,100
"Valeo Kapec Japan K,K.",FC,50,FC,50
CloudMade Co. Ltd,EM,50,EM,50
CHINA,,,,
Faw-Valeo Climate Control Systems Co. Ltd,EM,36.5,EM,36.5
Foshan Ichikoh Valeo Auto Lighting Systems Co. Ltd,FC,94.2,FC,94.2
Guangzhou Valeo Engine Cooling Co. Ltd,FC,100,FC,100
Huada Automotive Air Conditioner (Hunan) Co. Ltd,FC,66,FC,66
Nanjing Valeo Clutch Co. Ltd,FC,37.5,FC,37.5
Shanghai Valeo Automotive Electrical Systems Co. Ltd,EM,50,EM,50
Shenyang Valeo Auto Lighting Co. Ltd,FC,94.2,FC,94.2
Shenyang Valeo Pyeong-Hwa Transmission Systems Co. Ltd,FC,50,FC,50
Taizhou Valeo Wenling Automotive Systems Company Ltd,FC,100,FC,100
Valeo Auto Parts Trading (Shanghai) Co. Ltd,FC,100,FC,100
Valeo Automotive Air Conditioning Hubei Co. Ltd,FC,100,FC,100
Valeo Kapec Torque Converters (Nanjing) Co. Ltd,FC,50,FC,50
Valeo Engine Cooling (Foshan) Co. Ltd,FC,100,FC,100
Valeo Compressor (Changchun) Co. Ltd,FC,100,FC,100
Valeo Friction Materials (Nanjing) Co. Ltd,FC,50,FC,50
Valeo Ichikoh (China) Auto Lighting Co. Ltd,FC,94.2,FC,94.2
Valeo Interior Controls (Shanghai) Co. Ltd,FC,100,FC,100
Valeo Interior Controls (Shenzhen) Co. Ltd,FC,100,FC,100
Valeo Lighting Hubei Technical Center Co. Ltd,FC,94.2,FC,94.2
Valeo Management (Shanghai) Co. Ltd,FC,100,FC,100
Valeo Comfort Driving Assistance Systems (Guangzhou) Co. Ltd,FC,100,FC,100
