0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
SOUTH KOREA,,,,
Valeo Automotive Korea Co. Ltd,FC,100,FC,100
"Valeo Electrical Systems Korea, Ltd",FC,100,FC,100
Valeo Pyeong HWA Co. Ltd,FC,50,FC,50
Valeo Pyeong Hwa Automotive Components Co. Ltd,FC,50,FC,50
Valeo Pyeong HWA International Co. Ltd,FC,50,FC,50
Valeo Samsung Thermal Systems Co. Ltd,EM,50,EM,50
Valeo Pyeong HWA Metals Co. Ltd,EM,49,EM,49
Valeo Kapec Co. Ltd,FC,50,FC,50
Valeo PHC Co. Ltd,FC,50,FC,50
Valeo Detection Systems Korea Co. Ltd,FC,100,FC,100
Valeo PHC Thermal Systems Co. Ltd.(1),EM,50,-,-
Valeo Mobility Korea Co. Ltd,FC,100,FC,100
INDONESIA,,,,
PT Valeo AC Indonesia,FC,100,FC,100
PT VPH Asean Transmission,FC,50,FC,50
PT. Ichikoh Indonesia,FC,61.2,FC,61.2
MALAYSIA,,,,
Valeo Malaysia SDN.BHD.,FC,100,FC,100
Ichikoh (Malaysia) SDN.BHD.,FC,42.8,FC,42.8
Valeo Malaysia CDA SDN.BHD.,FC,100,FC,100
UNITED ARAB EMIRATES,,,,
Valeo Thermal Commercial Vehicles Middle East FZE,FC,100,FC,100
TAIWAN,,,,
Niles CTE Electronic Co. Ltd(3),-,-,FC,51
AUSTRALIA,,,,
Valeo Service Australia Pty Ltd,FC,100,FC,100
Valeo Thermal Commercial Vehicles Australia Pty Ltd,FC,100,FC,100
