0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
GERMANY,,,,
Valeo Auto-Electric GmbH(4),FC,100,FC,100
Valeo GmbH(4),FC,100,FC,100
Valeo Holding GmbH(4),FC,100,FC,100
Valeo Klimasysteme Gmbh(4),FC,100,FC,100
Valeo Schalter und Sensoren GmbH(4),FC,100,FC,100
Valeo Service Deutschland GmbH(4),FC,100,FC,100
Valeo Wischersysteme Gmbh(4),FC,100,FC,100
Valeo Telematik und Akustik GmbH(4),FC,100,FC,100
CloudMade Deutschland GmbH,EM,50,EM,50
Valeo Thermal Commercial Vehicles Germany GmbH(4),FC,100,FC,100
Valeo eAutomotive GmbH(3),-,-,FC,100
Valeo eAutomotive Germany GmbH(4),FC,100,FC,100
Valeo eAutomotive BSAES Holding GmbH(4),FC,100,FC,100
FTE Group Holding GmbH(3),-,-,FC,100
FTE Verwaltungs GmbH(4),FC,100,FC,100
FTE Automotive GmbH(3),-,-,FC,100
Valeo Powertrain GmbH (formerly FTE Asia GmbH)(4),FC,100,FC,100
FTE automotive systems GmbH(4),FC,100,FC,100
FTE automotive Möve GmbH(4),FC,100,FC,100
gestigon GmbH(4),FC,100,FC,100
Asaphus Vision GmbH(4),FC,100,FC,60
Valeo Detection Systems GmbH(4),FC,100,FC,100
UNITED KINGDOM,,,,
Valeo (UK) Limited,FC,100,FC,100
Valeo Climate Control Limited,FC,100,FC,100
Valeo Engine Cooling UK Limited,FC,100,FC,100
Valeo Management Services UK Limited,FC,100,FC,100
Valeo Service UK Limited,FC,100,FC,100
Valeo Air Management UK Limited,FC,100,FC,100
CloudMade Holdings Limited,EM,50,EM,50
CloudMade Limited,EM,50,EM,50
IRELAND,,,,
Connaught Electronics Limited,FC,100,FC,100
HI-KEY Limited,FC,100,FC,100
Valeo Ichikoh Holding Limited,FC,94,FC,94
