0,1
Risk factors AFR,84
Strategy risks,85
Operational risks,87
Financial risks,93
Insurance and risk coverage,94
Internal control and risk,
management,94
Internal control and risk management - Definitions and applicable standards,97
Scope of internal control and risk management,97
Components of the Group's internal control and risk management system,97
Organization of internal control and description of the assessment process,100
Procedures for preparing and processing financial and accounting information for the financial statements of the Company and the Group,100
Outlook,101
Ethics and compliance,101
