0,1,2,3,4,5
,"December 31, 2022",,,,
,Number of shares,% of share capital,Number of theoretical voting rights(1),% of theoretical voting rights(1),Number of exercisable voting rights(2)
Bpifrance Participations,"12,600,000",5.17%,"12,600,000",5.04%,"12,600,000"
BlackRock Inc.,"12,519,631",5.14%,"12,519,631",5.01%,"12,519,631"
Harris Associates LP,"12,393,566",5.09%,"12,393,566",4.96%,"12,393,566"
Dassault Group,"12,227,876",5.02%,"12,227,876",4.89%,"12,227,876"
Employee share ownership(3),"9,025,618",3.71%,"12,150,466",4.86%,"12,150,466"
Treasury shares(4),"2,385,577",0.98%,—,-%,—
Other,"182,349,676",74.89%,"188,083,639",75.24%,"188,083,639"
TOTAL,"243,501,944",100%,"249,975,178",100%,"247,589,601"
