0,1,2,3,4
Company,"December 31, 2023",,"December 31, 2022",
,Consolidation method,% interest,Consolidation method,% interest
BELGIUM,,,,
Valeo Service Belgique,FC,100,FC,100
Valeo Vision Belgique,FC,100,FC,100
LUXEMBOURG,,,,
Coreval,FC,100,FC,100
FINLAND,,,,
Valeo Thermal Commercial Vehicles Finland Oy (Ltd),FC,100,FC,100
NETHERLANDS,,,,
Valeo Sub-Holdings C.V.,FC,100,FC,100
Valeo Holding Netherlands BV,FC,100,FC,100
Valeo International Holding BV,FC,100,FC,100
Lucia Technologies B.V.,FC,100,FC,100
CZECH REPUBLIC,,,,
Valeo Autoklimatizace k.s.,FC,100,FC,100
Valeo Compressor Europe s.r.o.,FC,100,FC,100
Valeo Vymeniky Tepla s.r.o.,FC,100,FC,100
FTE automotive Czechia s.r.o.,FC,100,FC,100
Valeo Detection Systems s.r.o,FC,100,FC,100
SLOVAKIA,,,,
FTE automotive Slovakia s.r.o.,FC,100,FC,100
POLAND,,,,
Valeo Autosystemy SpZOO,FC,100,FC,100
Valeo Electric and Electronic Systems SpZOO,FC,100,FC,100
Valeo Service Eastern Europe SpZOO,FC,100,FC,100
Valeo eAutomotive Poland SpZOO,FC,100,FC,100
HUNGARY,,,,
Valeo Auto-Electric Hungary LLC,FC,100,FC,100
Valeo eAutomotive Hungary Kft.,FC,100,FC,100
ROMANIA,,,,
Valeo Lighting Injection SA,FC,100,FC,100
Valeo Sisteme Termice SRL,FC,100,FC,100
RUSSIA,,,,
Valeo Technology Rus Limited Liability Company,FC,100,FC,100
Valeo Service Limited Liability Company,FC,100,FC,100
