0,1,2,3
SCOPES,,REPORTING FRAMEWORK,REFERENCE (SECTION)
Social and personnel-related matters,,,
Employment,"Total number and distribution of employees by gender, age, country and professional category",GRI 2-7 Employees,111-113
,Total number and distribution of employment contract modalities,GRI 405-1 Diversity of governance bodies and employees,"112, 201-202"
,"Yearly average of indefinite-term, temporary and part-time contracts by gender, age and professional category",GRI 2-7 Employees,202
,"Number of dismissals by gender, age and professional category",GRI 401-1 New employee hires and employee turnover,206
,Salary Gap,Internal framework: the formula below has been used for the calculation: (Av. Wage Women - Av. Wage Men)/ Av. Wage Men,130
,"Average remuneration by gender, age and professional category","Internal framework: Average remuneration (including the total retribution for the year, fixed wage and all variable retributions (subsistence allowance, compensation,",128-129
,Average remuneration of directors by gender,"payment into savings plans, etc.)) obtained throughout the year.",174
,Average remuneration of senior management by gender,,175
,Implementation of work disconnection policies,GRI 3-3 Management of material topics,"Although Gestamp does not have a specific policy linked to work disconnection, These measures are reflected on Flexibility and Conciliation policy p. 125-126"
,Employees with disabilities,GRI 405-1 Diversity of governance bodies and employees.,134
Work management,Working time management,GRI 3-3 Management of material topics,125
,Number of absenteeism hours,Internal framework: absenteeism rate,"127, 206"
,Measures aimed at facilitating work-life balance and encouraging co-responsible exercise by both parents,GRI 3-3 Management of material topics,125
Health and safety,Health and safety conditions at work,GRI 403-1 Occupational health and safety management system,135-145
,"Number of occupational accidents and diseases by gender, frequency rate and severity by","GRI 403-9 Work-related injuries Frequency rate = No. of accidents with leave x 1,000,000/ no. of hours worked (excluding accidents in itinere) Severity rate = No. of working days lost x 1,000.000/ no. of hours worked (excluding accidents in itinere)",143
,gender,,
