0,1,2,3
SCOPES,,REPORTING FRAMEWORK,REFERENCE (SECTION)
Information about the company,,,
Company commitment to sustainable,Impact of the society's activity on the local development and employment,GRI 3-3 Management of material topics,"54, 157, 146-151"
development,Impact of the society's activity on local populations and in the territory,GRI 3-3 Management of material topics,"54, 157, 146-151"
,Relationships maintained with local community actors and the dialogue modalities maintained with them,GRI 3-3 Management of material topics,"54, 157, 146-151"
,Partnership or sponsorship actions,GRI 3-3 Management of material topics GRI 2-28 Membership associations Internal framework: description of partnership or sponsorship actions,155
,,,
Subcontracting and suppliers,"Inclusion in the purchasing policy of social, gender equality and environmental issues",GRI 3-3 Management of material topics,159-162
,Consideration in supplier and subcontractor relationships of their social and environmental responsibility,"GRI 2-6 Activities, value chain and other business relationships
GRI 2-24 Embedding policy commitments",159-162
,Supervision systems and audits and their results,,162
Consumers,Consumers' health and safety measures,GRI 3-3 Management of material topics,18.22
,Complaint systems,GRI 2-16 Communication of critical concerns GRI 2-25 Processes to remediate negative impacts,18-19
,Complaints received and resolution thereof,GRI 2-25 Processes to remediate negative impacts Internal framework: information about complaints and opportunities for improvement,19-20
Tax-related information,Profits earned country by country,GRI 207-4 Country-by-country reporting,45
,Taxes paid on profits,GRI 207-4 Country-by-country reporting,45
,Public subsidies received,GRI 201-4 Financial assistance received from government,45
EU Taxonomy,Overview of the Gestamp activities in relation to the EU Taxonomy Regulation,,96-107
