0,1,2,3
SCOPES,,REPORTING FRAMEWORK,REFERENCE (SECTION)
Information on respect for human rights,,,
Respect for Human Rights,Application of due diligence procedures in the field of human rights,GRI 2-26 Mechanisms for seeking advice and raising concerns GRI 3-3 Management of material topics,192-193
,"Prevention of risks arising from human rights violations and, where appropriate, measures to mitigate, manage and repair possible abuses committed",GRI 3-3 Management of material topics GRI 2-23 Policy commitments GRI 2-26 Mechanisms for seeking advice and raising concerns,192-193
,Complaints about cases of human rights violations,Internal framework: quantitative information on the number of complaints.,190-191
,"Promotion and compliance with the provisions of the ILO fundamental conventions related to respect for freedom of association and the right to collective bargaining, the elimination of discrimination in employment and occupation, the elimination of forced or compulsory labour and the effective abolition of child labour",GRI 3-3 Management of material topics GRI 2-23 Policy commitments,"125-126, 192-193"
Information regarding the fight against corruption and bribery,,,
Fight against corruption and blackmail,Measures taken to prevent corruption and bribery,GRI 2-25 Processes to remediate negative impacts GRI 2-23 Policy commitments GRI 2-26 Mechanisms for seeking advice and raising concerns,194-195
,Measures to fight money laundering,GRI 2-25 Processes to remediate negative impacts GRI 2-23 Policy commitments GRI 2-26 Mechanisms for seeking advice and raising concerns,195
,,,
,Contributions to foundations and non-profit organisations,GRI 201-1 Direct economic value generated and distributed,153
