0,1,2,3
SCOPES,,REPORTING FRAMEWORK,REFERENCE (SECTION)
General scopes,,,
Business model,Description of the business model:,"GRI 2-1 Organizational details GRI 2-2 Entities included in the organization's sustainability reporting GRI 2-6 Activities, value chain and other business relationships","6-37, 30-39, 56-57, 165-173"
,· Business environment,,
,· Organisation and structure,,
,· Markets in which it operates,GRI 2-9 Governance structure and composition GRI 2-23 Policy commitments,
,· Objectives and strategies,,
,· Main factors and trends that may affect its future development,,
Materiality,Materiality Study,GRI 3-1 Process for determining material topics GRI 3-2 List of material topics GRI 3-3 Management of material topics,"54-56, 211-214"
General,Reporting Framework,"GRI 2-3 Reporting period, frequency and point of contact GRI 2-5 External verification.","209-210, 229-230"
Policies and results of these policies,"Description off the policies imposed by the group, as well as the results of these policies, including the key indicators of the appropriate non-financial results.",GRI 2-23 Policy commitments GRI 2-24 Embedding policy commitments,208. Throughout the entire report.
Main risks and impacts identified,"Main risks related to these matters and related to the activities of the group, including, where relevant and appropriate, its business relationships, products or services that may have a negative effect on these areas.",GRI 3-3 Management of material topics,176-182; Throughout the entire report.
