0,1,2,3
SCOPES,,REPORTING FRAMEWORK,REFERENCE (SECTION)
Environmental matters,,,
Environmental Management,Current and foreseeable effects of the activities of the company,GRI 3-3 Management of material topics,85-86
,,"Internal criterion/GRI 201-2 Financial implications and other risks and opportunities
due to climate change (Accounting criterion)",86-87
,Environmental assessment or certification procedures,,
,,GRI 2-23 Policy commitments Law 26/2007 on Environmental Responsibility (where applicable),87
,Resources dedicated to the prevention of environmental risks,,
,Application of the precautionary principle,,87
,Amount of provisions and guarantees for environmental risks,,87
Pollution,"Measures to prevent, reduce or repair carbon emissions (also includes noise and light pollution)",GRI 3-3 Management of material topics,68-69. 72-75
"Circular economy, waste prevention and","Measures for prevention, recycling, reuse, other forms of waste recovery and disposal",GRI 3-3 Management of material topics,"76-84, 90-94"
management,,GRI 306-3 (2020) Waste generated,
,Actions to combat food waste,GRI 3-3 Management of material topics,It is not a material issue for Gestamp based on its activity.
Sustainable Use of Resources,Water consumption and water supply in accordance with local limitations,GRI 3-3 Management of material topics,88-89
,,GRI 303-3 Water withdrawal,
,Consumption of raw materials,GRI 3-3 Management of material topics,90
,,GRI 301-1 Materials used by weight or volume,
,Measures taken to improve the efficiency of its use of raw materials,Energy efficiency system,72-75
,Direct and indirect energy consumption,GRI 302-1 Energy consumption within the organization,70
,Measures taken to improve energy efficiency,GRI 3-3 Management of material topics,72-75
,Renewable energy use,GRI 302-1 Energy consumption within the organization,70
Climate change,Important elements of the greenhouse gas emissions generated,GRI 305-1 Direct (Scope 1) GHG emissions GRI 305-2 Energy indirect (Scope 2) GHG emissions,71
,,Where applicable: GRI 305-3 Other indirect (Scope 3) GHG emissions,
,Measures taken to adapt to the consequences of climate change,GRI 3-3 Management of material topics,61-75
,Reduction targets established voluntarily,GRI 3-3 Management of material topics,61-75
Biodiversity protection,Measures taken to preserve or restore biodiversity,GRI 3-3 Management of material topics,95
,Impact of activities or operations in protected areas,,95
