0,1,2
Operational difficulties and issues with project continuity due to low talent retention and high staff turnover.,,
"Fines, sanctions and strikes arising from breaches in relation to trade union activity and employee association, affecting the company's image and reputation.",,
"Reputational damage and administrative sanctions due to a lack of due diligence regarding human rights in suppliers, subcontractors and company employees.",,
OPPORTUNITIES,,
Attraction of specialist and qualified staff due to new talent attraction plans that cover the company's new needs and safeguard its future development.,,
Increase in worker motivation due to policies and plans to boost motivation.,,
Improved reputation thanks to how the company's commitment to defending and respecting human rights is received by stakeholders.,,
Severity/Magnitude Probability,,
Low,Low,
Medium,Medium,
High,"High
:selected:",
