0,1,2,3
SCOPES,,REPORTING FRAMEWORK,REFERENCE (SECTION)
Social and personnel-related matters,,,
Social relationships,Organisation of social dialogue,GRI 3-3 Management of material topics,125-126
,Percentage of employees covered by collective agreements per country,GRI 2-30 Collective bargaining agreements,125-126
,"Balance of collective agreements, particularly in the field of health and safety at work",GRI 3-3 Management of material topics,125-126
,"Mechanisms and procedures of the company to promote the involvement of workers in the management of the company, in terms of information, consultation and participation.",GRI 2-30 Collective Agreements,125-126
Training,Policies implemented in the field of training,GRI 404-2 Programs for upgrading employee skills and transition assistance programs.,117-122
,Total number of hours of training by professional categories.,Internal framework,120
Accessibility,Universal accessibility of persons with disabilities,GRI 3-3 Management of material topics,134
Equality,Measures taken to promote equal treatment and opportunities between women and men,GRI 3-3 Management of material topics,131-132
,"Equality plans, measures taken to promote employment, protocols against sexual harassment and gender-based harassment",GRI 3-3 Management of material topics,131-132
,Integration and the universal accessibility of persons with disabilities,GRI 2-23 Policy commitments,134
,"Policy against all types of discrimination and, where appropriate, diversity management",GRI 3-3 Management of material topics GRI 2-23 Policy commitments,"131, 192"
