0,1,2
Standards,Disclosure,Reference
1. The organization and its reporting practices,,
2-1,Organizational details,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance
:unselected:"
2-2,Entities included in the organization's sustainability reporting,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - Chapter 6 - How we report
:unselected:
:unselected:"
2-3,"Reporting period, frequence and contact point","- Chapter 6 - How we report
:unselected:"
2-4,Restatements of information,"- Chapter 6 - How we report
:unselected:"
2-5,External assurance,"- Chapter 6 - How we report
:unselected:"
2. Activities and workers,,
2-6,"Activities, value chain and other business relationships","- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.1 Tata Steel Nederland
:unselected:"
2-7,Employees,- Key Figures Social - Human Resources Management
2-8,Workers who are not employees,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.4 Stakeholder Dialogue - Chapter 5 - People & Society - 5.2 Health and Safety at work - Key Figures - Social - Safety - Social - Human Resources Management
:unselected:
:unselected:
:selected:"
3. Governance,,
2-9,Governance structure and composition,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected:"
2-10,Nomination and selection of the highest governance body,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected:
:unselected:"
2-11,Chair of the highest governance body,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected:
:unselected:"
2-12,Role of the highest governance body in overseeing the management of impacts,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected: :unselected:"
2-13,Delegation of responsibility for managing impacts,"- Chapter 1- Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected:"
2-14,Role of the highest governance body in sustainability reporting,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected: :unselected:"
2-15,Conflicts of interest,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected:
:unselected:"
2-16,Communication of critical concerns,- Key Figures - Economics & Governance - Ethics
2-17,Collective knowledge of the highest governance body,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected:"
2-18,Evaluation of the performance of the highest governance body,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected:"
2-19,Remuneration policies,"Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected:"
2-20,Process to determine remuneration,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.6 Governance
:unselected: :unselected:"
2-21,Annual total compensation ratio,"- Key Figures Social - Human Resources Management
:selected:"
