0,1,2
LEASES IN THE STATEMENT OF INCOME,,
million €,"Year ended Sept. 30, 2022","Year ended Sept. 30, 2023"
Other sales,,
Income from operating lease,3,7
Lease expense,,
Expense from short-term leases,35,42
Expense from leases for low-value assets,1,1
Expense from off-balance variable lease payments,2,2
Depreciation expense,,
Depreciation of right-of-use assets,126,131
Impairment of right-of-use assets,0,0
"Other gains/(losses), net",,
(Gain)/loss on disposal of right-of-use assets,(1),0
"Financial income/(expense), net",,
Interest expense from lease liabilities,22,25
