0,1,2,3
"INCENTIVE PLANS - YEAR ENDED SEPT. 30, 2023",,,
,11th installment LTI,12th installment LTI,13th installment LTI
Maturity,9/30/2024,9/30/2025,9/30/2026
Averaging period,20.8. - 30.9.2024,20.8. - 30.9.2025,20.8. - 30.9.2026
thyssenkrupp stock price as of balance sheet date,€7.23,€7.23,€7.23
Assumed dividend payment(s) per stock until maturity,"€0.15 on Feb. 7, 2024","€0.15 on Feb. 7, 2024 €0.15 on Feb. 5, 2025","€0.15 € on Feb. 7, 2024 €0.15 € on Feb. 5, 2025 €015 € on Feb. 11, 2026"
Average dividend yield,2.21%,2.13%,2.09%
Average interest rate (averaging period),4.23%,3.88%,3.64%
"Fair value as of Sept. 30, 2023",,,
- without caps,€7.07,€6.93,€6.79
- with caps,€7.07,€6.93,€6.79
