0,1,2,3,4,5,6
"Property, plant and
CHANGES IN RIGHT-OF-USE ASSETS Technical Other equipment, machinery and factory and Investment million € Land Buildings equipment office equipment property Total",,,,,,
Gross amounts,,,,,,
"Balance as of Oct. 1, 2021",156,563,46,86,0,852
Currency differences,0,48,5,3,0,56
Acquisitions/divestitures of businesses,0,(3),0,0,0,(3)
Additions,8,89,6,17,0,120
Transfers,0,(3),0,0,0,(4)
Disposals,0,(27),(1),(8),0,(36)
"Balance as of Sept. 30, 2022",164,667,56,98,1,985
Currency differences,0,(24),(2),(2),0,(28)
Acquisitions/divestitures of businesses,0,0,0,0,0,0
Additions,6,170,6,23,0,205
Transfers,2,(2),0,0,0,(1)
Disposals,(1),(11),(3),(5),0,(20)
"Balance as of Sept. 30, 2023",172,800,56,113,0,"1,142"
Accumulated depreciation and impairment losses,,,,,,
"Balance as of Oct. 1, 2021",12,216,17,46,0,292
Currency differences,0,24,3,2,0,28
Acquisitions/divestitures of businesses,0,(3),0,0,0,(3)
Depreciation expense,6,88,10,21,0,126
Impairment losses,0,0,0,0,0,0
Reversals of impairment losses,0,0,0,0,0,0
Transfers,0,(2),0,0,0,(2)
Disposals,0,(8),(1),(6),0,(16)
"Balance as of Sept. 30, 2022",19,314,29,62,0,424
Currency differences,0,(14),(1),(1),0,(16)
Acquisitions/divestitures of businesses,0,0,0,0,0,0
Depreciation expense,7,94,10,20,0,131
Impairment losses,0,0,0,0,0,0
Reversals of impairment losses,0,(3),0,0,0,(3)
Transfers,0,(3),0,0,0,(4)
Disposals,0,(9),(3),(5),0,(17)
"Balance as of Sept. 30, 2023",26,380,34,76,0,516
Net amounts,,,,,,
"Balance as of Oct. 1, 2021",144,347,29,40,0,560
"Balance as of Sept. 30, 2022",145,353,27,36,0,561
"Balance as of Sept. 30, 2023",146,420,22,38,0,626
