0,1,2,3,4,5,6
ATTENDANCE RATE AT THE MEETINGS OF THE SUPERVISORY BOARD AND,,,,,,
ITS COMMITTEES FY 2022/2023,,,,,,
,Supervisory Board Meetings,,,Committee Meetings,,
,Meetings,Attended,Attendance rate in %,Meetings,Attended,Attendance rate in %
"Prof. Dr .- Ing. Dr .- Ing. E. h. Siegfried Russwurm, Chairman",7,7,100.00%,27,27,100.00%
"Jürgen Kerner, Vice Chairman",7,7,100.00%,26,24,92.31%
Birgit A. Behrendt,7,7,100.00%,.1.,.1.,.1.
"Dr. Patrick Berard (since Feb. 3, 2023)",5,5,100.00%,,.1.,.1.
Stefan Erwin Buchner,7,7,100.00%,./.,.1.,./.
Dr. Wolfgang Colberg,7,7,100.00%,4,3,75.00%
Prof. Dr. Dr. h.c. Ursula Gather,7,7,100.00%,5,5,100.00%
Angelika Gifford,7,7,100.00%,.1.,.1.,
Dr. Bernhard Günther,7,7,100.00%,27,27,100.00%
Achim Hass,7,7,100.00%,,./.,.1.
"Friederike Helfer (until Feb. 3, 2023)",2,2,100.00%,2,2,100.00%
Tanja Jacquemin,7,7,100.00%,5,5,100.00%
Daniela Jansen,7,7,100.00%,7,7,100.00%
Christian Julius,7,7,100.00%,./,./.,./.
Thorsten Koch,7,7,100.00%,1,1,100.00%
"Katrin Krawinkel (since Jan. 1, 2023)",3,3,100.00%,./,.1.,.1.
Dr. Ingo Luge,7,7,100.00%,6,6,100.00%
Tekin Nasikkol,7,7,100.00%,31,30,96.77%
"Peter Remmler (until Feb. 3, 2023)",2,2,100.00%,1,1,100.00%
"Dirk Sievers (until June 20, 2023)",5,5,100.00%,20,19,95.00%
Dr. Verena Volpert,7,7,100.00%,5,5,100.00%
"Ulrich Wilsberg (since Feb. 3, 2023)",5,5,100.00%,4,3,75.00%
"Isolde Würz (until Dec. 31, 2022)",1,1,100.00%,.1.,./.,1
"Kirstin Zeidler (since July 7, 2023)",1,1,100.00%,./.,./.,.1.
