0,1,2,3,4
million €,"Carrying amount on balance sheet Sept. 30, 2022",,Designated part of hedging instruments,Fair value change of hedged item
,Derivative assets,Derivative liabilities,,
Hedging of foreign currency risk,26,50,(24),24
Foreign currency derivatives qualifying as cash flow hedges,26,50,(24),24
Hedging of interest risk1),0,0,0,0
Interest rate derivatives qualifying as cash flow hedges1),0,0,0,0
Interest rate derivatives qualifying as fair value hedges,0,0,0,0
Hedging of commodity risk,1,99,234,(234)
Commodity derivatives qualifying as cash flow hedges,0,99,234,(234)
Commodity derivatives qualifying as fair value hedges,1,0,1,(1)
