0,1,2
RECONCILIATION TO BOOK VALUE INCLUDED IN THE BALANCE SHEET OF THE GROUP,,
million €,"Sept. 30, 2022 2021/20221)","Sept. 30, 2023 2022/20232)"
Net assets as of Oct. 1,"2,633","3,221"
Net income/(loss),(646),(468)
Other comprehensive income (foreign currency translation adjustment),"1,174","(1,000)"
Miscellaneous other comprehensive income,60,(5)
Net assets as of Sept. 30,"3,221","1,748"
Proportion of net assets as of Sept. 30 attributable to thyssenkrupp group,610,331
Impairment losses,(136),(105)
Other reconciliation items,43,35
Carrying amount as of Sept. 30,518,261
