0,1,2
RECONCILIATION ADJUSTED EBIT TO INCOME/(LOSS) FROM CONTINUING OPERATIONS,,
BEFORE TAX,,
million €,"Year ended Sept. 30, 2022","Year ended Sept. 30, 2023"
Adjusted EBIT as presented in segment reporting,"2,062",703
Special items,(235),"(2,134)"
EBIT as presented in segment reporting,"1,827","(1,431)"
+ Non-operating income/(expense) from companies accounted for using the equity method,(259),(63)
+ Finance income,"1,291",896
- Finance expense,"(1,431)",(984)
- Items of finance income assigned to EBIT based on economic classification,(4),(7)
+ Items of finance expense assigned to EBIT based on economic classification,(28),6
Income/(loss) group (before tax),"1,396","(1,583)"
- Income/(loss) from discontinued operations (before tax),(9),0
Income/(loss) from continuing operations before tax as presented in the statement of income,"1,387","(1,583)"
