0,1,2,3,4
"FAIR VALUE HIERARCHY AS OF SEPT. 30, 2022",,,,
million €,"Sept. 30, 2022",Level 1,Level 2,Level 3
Financial assets at fair value,,,,
Fair value recognized in profit or loss,,,,
Derivatives not qualifying for hedge accounting,117,0,117,0
Derivatives qualifying for hedge accounting,1,0,1,0
Equity instruments,13,7,5,0
Fair value recognized in equity,,,,
Trade accounts receivable,"2,408",,,"2,408"
Equity instruments,59,,,59
Debt instruments (measured at fair value),38,38,0,0
Derivatives qualifying for hedge accounting,26,0,26,0
Total,"2,661",45,149,"2,467"
Financial liabilities at fair value,,,,
Fair value recognized in profit or loss,,,,
Derivatives not qualifying for hedge accounting,107,0,107,0
Fair value recognized in equity,,,,
Derivatives qualifying for hedge accounting,148,0,148,0
Total,255,0,255,0
