0,1,2,3,4
IMPAIRMENT OF TRADE ACCOUNTS RECEIVABLE RECOGNIZED AT FAIR VALUE IN EQUITY,,,,
million €,Carrying amount,Expected credit loss,Defaults,Total of impairments
"Balance as of Sept. 30, 2021","1,891",(5),(40),(45)
Currency differences,59,0,0,0
Acquisitions/divestitures of businesses,(7),0,0,0
Additions,,(10),(62),(73)
Amounts utilized,,0,5,6
Reversals,,9,4,13
Transfer between impairment stages,0,,,0
Other changes,464,0,0,0
"Balance as of Sept. 30, 2022","2,408",(6),(93),(99)
Currency differences,(33),0,0,0
Acquisitions/divestitures of businesses,0,0,0,0
Additions,,(11),(12),(23)
Amounts utilized,,0,2,2
Reversals,,15,24,39
Transfer between impairment stages,0,,,0
Other changes,"(1,194)",0,0,0
"Balance as of Sept. 30, 2023","1,181",(3),(80),(83)
