0,1,2,3,4,5,6,7
"RECONCILIATION IN ACCORDANCE WITH IAS 7 - YEAR ENDED SEPT. 30, 2022",,,,,,,
million €,"Sept. 30, 2021",Cash flows from financing activities1),Non-cash changes,,"Sept. 30, 2022",,
,,,Acquisitions/ divestitures of businesses,Currency differences,Fair value changes,Other changes,
Bonds,"4,339","(1,250)",0,0,0,5,"3,094"
Loan notes / other loans,319,(196),(270),0,0,269,122
Liabilities to financial institutions,149,53,(1),(66),0,0,136
Lease liabilities,633,(142),(15),34,0,119,629
Other financial liabilities,0,0,0,0,0,0,0
Subtotal financial debt,"5,440","(1,535)",(286),(31),0,393,"3,981"
Assets/liabilities from other financing activities,43,(178),(30),32,215,0,81
Total,"5,483","(1,713)",(317),1,215,393,"4,062"
