0,1,2,3,4,5,6,7
"FINANCIAL INSTRUMENTS AS OF SEPT. 30, 2022",,,,,,,
million €,Measurement in accordance with IFRS 16/ Measurement category in accordance with IFRS 9 IFRS 15,,,,,,"Carrying amount as of
Sept. 30, 2022"
,"Carrying amount on balance sheet Sept. 30, 2022",(Amortized) cost,Fair value recognized in profit or loss,Fair value recognized in equity (with recycling),Fair value recognized in equity (without recycling),Amortized cost,
Trade accounts receivable (excluding finance lease),"5,277","2,869",,"2,408",,,"5,376"
Contract assets,"1,895",,,,,"1,895",0
Finance lease receivables,21,,,,,21,21
Other financial assets,"1,563","1,311",130,64,59,,"1,584"
Miscellaneous other financial assets,,"1,311",,,,,"1,331"
Equity instruments,,,13,,59,,71
Debt instruments,,,,38,,,38
Derivatives not qualifying for hedge accounting,,,117,,,,117
Derivatives qualifying for hedge accounting,,,1,26,,,27
Cash and cash equivalents,"7,638","7,638",,,,,"7,638"
Total of financial assets,"16,393",,,,,,
,,,,,,,
Financial debt (excluding lease liabilities),"3,352","3,352",,,,,"3,191"
Lease liabilities,629,,,,,629,629
Trade accounts payable,"4,807","4,807",,,,,"4,807"
Other financial liabilities,"1,020",765,107,148,,,"1,020"
Miscellaneous other financial liabilities,,765,,,,,765
Derivatives not qualifying for hedge accounting,,,107,,,,107
Derivatives qualifying for hedge accounting,,,0,148,,,148
Total of financial liabilities,"9,808",,,,,,
