0,1,2
"FINANCIAL INCOME/(EXPENSE), NET",,
million €,"Year ended Sept. 30, 2022","Year ended Sept. 30, 2023"
Income from companies accounted for using the equity method,(245),(38)
Interest income from financial receivables,30,167
Income from investments,4,6
Other finance income,"1,257",722
Finance income,"1,291",896
Interest expense from financial debt,(113),(93)
Net interest cost of pensions and similar obligations,(66),(195)
Other finance expenses,"(1,252)",(697)
Finance expense,"(1,431)",(984)
Total,(385),(126)
