0,1,2,3,4
"BREAKDOWN RECONCILIATION FOR THE YEAR ENDED SEPT. 30, 2022",,,,
million €,Servi Service Units,Special Units,Consolidation,Reconciliation
"Year ended Sept. 30, 2022",,,,
External sales,17,2,0,18
Internal sales within the group,225,33,"(2,265)","(2,008)"
Sales,241,34,"(2,265)","(1,990)"
Income from companies accounted for using the equity method,0,0,0,0
Aggregate investment in investees accounted for using the equity method,0,0,0,0
EBIT,0,(31),2,(29)
Adjusted EBIT,4,(27),2,(22)
Average capital employed,(29),851,(200),623
Depreciation expense,13,14,(25),2
"Impairment losses of intangible assets, property, plant and equipment inclusive of investment property",0,5,0,5
"Reversals of impairment losses of intangible assets, property, plant and equipment inclusive of investment property",0,0,0,0
Significant non-cash items,(5),67,3,65
"Capital expenditures (intangible assets, property, plant and equipment inclusive of investment property)",3,2,(5),1
