0,1,2,3,4
CHANGES IN OTHER COMPREHENSIVE INCOME RESULTING FROM CASH FLOW HEDGES BY TYPE OF RISK,,,,
million €,Total,Foreign currency risk,Interest risk1),Commodity price risk
"Balance as of Oct. 1, 2021",173,,,
Net unrealized gains/(losses) on designated risk component2),25,(38),0,63
Net unrealized gains/(losses) on hedging costs2),4,4,—,—
Net realized (gains)/losses2),36,36,0,0
Tax effect,(19),,,
"Balance as of Sept. 30, 2022",220,,,
Net unrealized gains/(losses) on designated risk component,13,4,0,8
Net unrealized gains/(losses) on hedging costs,(11),(11),—,—
Net realized (gains)/losses,25,25,0,0
Tax effect,19,,,
"Balance as of Sept. 30, 2023",225,,,
