0,1,2,3,4
CHANGES IN INTANGIBLE ASSETS,,,,
million €,"Franchises, trademarks and similar rights and values as well as licenses thereto","Development costs, internally developed software and website",Goodwill,Total
Gross amounts,,,,
"Balance as of Oct. 1, 2021","1,346",916,"2,585","4,847"
Currency differences,27,30,46,103
Acquisitions/divestitures of businesses,0,0,0,0
Additions,25,17,0,42
Transfers,16,3,0,18
Disposals,(22),(373),0,(395)
"Balance as of Sept. 30, 2022","1,392",592,"2,630","4,614"
Currency differences,(18),(5),(20),(44)
Acquisitions/divestitures of businesses,0,0,2,2
Additions,21,28,0,49
Transfers,37,1,0,38
Disposals,(74),(41),0,(115)
"Balance as of Sept. 30, 2023","1,358",575,"2,612","4,545"
Accumulated depreciation and impairment losses,,,,
"Balance as of Oct. 1, 2021",934,823,"1,197","2,955"
Currency differences,20,29,41,90
Acquisitions/divestitures of businesses,0,0,(2),(2)
Depreciation expense,60,18,0,78
Impairment losses,2,8,0,11
Reversals of impairment losses,0,0 OM,0,0
Transfers,1,3,0,5
Disposals,(21),(373),0,(393)
"Balance as of Sept. 30, 2022",997,509,"1,236","2,743"
Currency differences,(13),(4),(14),(31)
Acquisitions/divestitures of businesses,0,0,0,0
Depreciation expense,52,17,0,68
Impairment losses,9,40,0,49
Reversals of impairment losses,0,0,0,0
Transfers,0,2,0,2
Disposals,(73),(41),0,(114)
"Balance as of Sept. 30, 2023",972,523,"1,222","2,717"
Net amounts,,,,
"Balance as of Oct. 1, 2021",412,92,"1,387","1,892"
"Balance as of Sept. 30, 2022",395,82,"1,394","1,872"
"Balance as of Sept. 30, 2023",386,52,"1,390","1,828"
