0,1,2,3,4,5,6,7
MULTI TRACKS IN FIGURES,,,,,,,
,,"Year ended Sept. 30, 2022","Sept. 30, 2023 Year ended",Change in %,"4th quarter ended
Sept. 30, 2022","4th quarter ended
Sept. 30, 2023",Change in %
Order intake,million €,"6,499","3,735",(43),"1,724",756,(56)
Sales,million €,"4,101","3,167",(23),839,829,(1)
EBITDA,million €,(17),(88),--,71,(42),
EBIT,million €,(143),(160),(12),28,(61),
Adjusted EBIT,million €,(173),(132),24,(77),(58),24
Adjusted EBIT margin,%,(4.2),(4.2),—,(9.1),(7.0),—
Investments,million €,59,52,(12),24,24,(1)
Employees (Sept. 30),,"12,892","13,619",6,"12,892","13,619",6
