0,1,2,3,4,5,6,7
"CHANGES IN PROPERTY, PLANT AND EQUIPMENT",,,,,,,
million €,"Land, leasehold rights and buildings including buildings on third-party land",Technical machinery and equipment,"Other equipment, factory and office equipment",Right-of-use assets,Assets under operating lease,Construction in progress,Total
Gross amounts,,,,,,,
"Balance as of Oct. 1, 2021","5,360","18,988","1,985",852,39,"1,292","28,518"
Currency differences,108,432,31,56,0,44,672
Acquisitions/divestitures of businesses,(6),(16),0,(3),0,0,(26)
Additions,72,298,91,120,0,683,"1,265"
Transfers,107,491,36,(4),4,(532),102
Disposals,(55),(461),(79),(36),(18),(3),(651)
Reclassification due to the presentation as assets held for sale,(8),0,0,0,0,0,(8)
"Balance as of Sept. 30, 2022","5,579","19,732","2,065",985,25,"1,485","29,871"
Currency differences,(66),(271),(19),(28),0,(30),(415)
Acquisitions/divestitures of businesses,0,0,0,0,0,0,0
Additions,24,282,104,205,0,688,"1,304"
Transfers,115,534,36,(1),38,(676),46
Disposals,(63),(195),(86),(20),(1),(7),(372)
"Balance as of Sept. 30, 2023","5,589","20,080","2,100","1,142",62,"1,461","30,435"
Accumulated depreciation and impairment losses,,,,,,,
"Balance as of Oct. 1, 2021","3,505","16,413","1,679",292,17,99,"22,005"
Currency differences,56,344,24,28,0,1,454
Acquisitions/divestitures of businesses,(7),(17),0,(3),0,0,(26)
Depreciation expense,99,505,101,126,0,0,832
Impairment losses,55,265,25,0,0,132,476
Reversals of impairment losses,0,0,0,0,0,(1),(2)
Transfers,32,49,0,(2),8,(93),(7)
Disposals,(49),(453),(76),(16),(13),(2),(608)
Reclassification due to the presentation as assets held for sale,0,0,0,0,0,0,0
"Balance as of Sept. 30, 2022","3,693","17,106","1,752",424,12,136,"23,123"
Currency differences,(34),(217),(15),(16),0,(1),(283)
Acquisitions/divestitures of businesses,0,0,0,0,0,0,0
Depreciation expense,95,502,102,131,2,0,832
Impairment losses,386,"1,011",107,0,0,668,"2,173"
Reversals of impairment losses,(1),(9),0,(3),0,0,(13)
Transfers,34,90,3,(4),(3),(130),(9)
Disposals,(49),(192),(85),(17),0,0,(343)
"Balance as of Sept. 30, 2023","4,123","18,292","1,865",516,11,674,"25,481"
Net amounts,,,,,,,
"Balance as of Oct. 1, 2021","1,855","2,575",307,560,22,"1,193","6,513"
"Balance as of Sept. 30, 2022","1,886","2,626",313,561,13,"1,349","6,748"
"Balance as of Sept. 30, 2023","1,466","1,788",236,626,51,787,"4,954"
