0,1,2,3,4
INFORMATION ON HEDGING INSTRUMENTS IN THE CONTEXT OF CASH FLOW HEDGES,,,,
AND FAIR VALUE HEDGES,"Carrying amount on balance sheet Sept. 30, 2023",,Designated part of Fair value change of hedging instruments hedged item,
million €,,,,
,Derivative assets,Derivative liabilities,,
Hedging of foreign currency risk,6,7,(8),8
Foreign currency derivatives qualifying as cash flow hedges,6,7,(8),8
Hedging of interest risk1),0,0,0,0
Interest rate derivatives qualifying as cash flow hedges1),0,0,0,0
Interest rate derivatives qualifying as fair value hedges,0,0,0,0
Hedging of commodity risk,26,14,256,(256)
Commodity derivatives qualifying as cash flow hedges,26,14,256,(256)
Commodity derivatives qualifying as fair value hedges,0,0,0,0
