0,1,2,3,4,5,6,7,8
At Grant date,,,,,,"Number of shares issued as of December 31, 2023",,
Grant date,Type of plan,Number of shares,Number of beneficiaries,Maturity,Fair value per share,Shares outstanding,Shares forfeited,Shares vested
"December 8, 2023",RSU,"1,269,300",958,"December 8, 2026",25.58,"1,269,300","—
:unselected:","—
:unselected:"
"December 8, 2023",PSU,"985,700",256,"January 1, 2027",22.06,"985,700","—
:unselected:","—
:unselected:"
"December 8, 2023",Executive Office,"141,973",2,"January 1, 2027",20.49,"141,973","—
:unselected:","—
:unselected:"
"December 13, 2022",RSU,"866,000",802,"December 13, 2025",27.61,"831,600","32,934","1,466"
"December 13, 2022",PSU,"644,800",242,"January 1, 2026",23.64,"636,300","8,500","—
:unselected:"
"December 13, 2022",Executive Office,"141,564",2,"January 1, 2026",22.47,"141,564","—
:unselected:","—
:unselected:"
"December 16, 2021",RSU,"729,250",658,"December 16, 2024",32.66,"656,900","63,659","8,691"
"December 16, 2021",PSU,"575,400",244,"January 1, 2025",28.29,"529,150","46,250","—
:unselected:"
"December 16, 2021",Executive Office,"109,143",2,"January 1, 2025",27.20,"109,143","—
:unselected:","—
:unselected:"
"December 14, 2020",PSU,"714,250",235,"January 1, 2024",19.74,"602,050","112,200","—
:unselected:"
"December 14, 2020",Executive Office,"148,422",2,"January 1, 2024",18.19,"148,422",—,—
Total,,"6,325,802",,,$18.19 - $32.66,"6,052,102","263,543","10,157"
