0,1,2,3,4,5
Unit,Country,Locations,Production in 2023 (in million tonnes per year)1,Type of plant,Products
ArcelorMittal Dofasco,Canada,Hamilton,3.1,"Integrated, Mini-mill",Flat
ArcelorMittal Texas HBI,USA,Corpus Christi,n/a,Iron-Making,Hot briquetted iron
ArcelorMittal Mexico,Mexico,"Lázaro Cárdenas, Celaya",3.8,"Mini-mill, Integrated,
and Downstream","Flat, Long/ Bar, Wire
Rod"
ArcelorMittal Long Products Canada,Canada,"Contrecoeur East, West",1.8,Mini-mill,"Long/ Wire Rod, Bars, Slabs"
ArcelorMittal Tubular Products,Canada,Brampton,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products,Canada,London,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products,Canada,Woodstock,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products,Canada,Hamilton,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products,USA,Shelby,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products,USA,Marion,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products 2,Mexico,Monterrey,n/a,Downstream,Pipes and Tubes
