0,1,2,3,4,5
,"Year ended December 31, 2023",,,,
,Total,Canada,Brazil,Europe,Other
Change in benefit obligation,,,,,
Benefit obligation at beginning of the period,"4,932","2,375",431,"1,849",277
Current service cost,74,14,—,48,12
Interest cost on DBO,267,120,"43
:selected:",69,35
Past service cost - Plan amendments,9,—,"—
:unselected:",3,6
Past service cost - Curtailments,(6),—,"—
:unselected:",(6),—
Plan participants' contribution,1,—,—,1,—
Actuarial (gain) loss,272,130,38,88,16
Demographic assumptions,15,4,—,10,1
Financial assumptions,246,123,33,86,4
Experience adjustment,11,3,5,(8),11
Benefits paid,(382),(193),(40),(121),(28)
Divestment (see note 2.3),(50),—,—,—,(50)
Foreign currency exchange rate differences and other movements,167,52,35,56,24
Benefit obligation at end of the period,"5,284","2,498",507,"1,987",292
Change in plan assets,,,,,
Fair value of plan assets at beginning of the period,"3,466","2,400",391,647,28
Interest income on plan assets,183,118,39,25,1
Return on plan assets less than discount rate,221,118,26,75,2
Employer contribution,89,19,4,66,—
Plan participants' contribution,1 1,—,—,1,—
Benefits paid,(297),(192),(40),(64),(1)
Foreign currency exchange rate differences and other movements,108,54,31,23,—
Fair value of plan assets at end of the period,"3,771","2,517",451,773,30
Present value of the wholly or partly funded obligation,"(4,198)","(2,487)",(507),"(1,173)",(31)
Fair value of plan assets,"3,771","2,517",451,773,30
Net present value of the wholly or partly funded obligation,(427),30,(56),(400),(1)
Present value of the unfunded obligation,"(1,086)",(11),—,(814),(261)
Prepaid due to unrecoverable surpluses,(35),(28),"(4)
:selected:",(3),—
Net amount recognized,"(1,548)",(9),(60),"(1,217)",(262)
Net assets related to funded obligations,46,42,—,4,—
Recognized liabilities,"(1,594)",(51),(60),"(1,221)",(262
Change in unrecoverable surplus,,,,,
Unrecoverable surplus at beginning of the period,(33),(27),(3),"(3)
:selected:",—
Interest cost on unrecoverable surplus,(2),"(2)
:selected:","—
:unselected:",—,—
Change in unrecoverable surplus in excess of interest,1,1,—,—,—
Exchange rates changes,"(1)
:unselected:",—,(1),—,—
Unrecoverable surplus at end of the period,(35),(28),(4),(3),—
