0,1,2,3,4,5,6
,Executive Office,,,Executive Officers,,
2021 Grant,. PSUs with a three year performance period,,,· PSUs with a three year performance period,,
,· Value at grant 100% of base salary for the Executive Chairman and the CEO,,,,,
,· Vesting conditions:,,,· Vesting conditions:,,
,Threshold,,Target,Target,,Stretch
,TSR vs. peer group (50%) / EPS vs. peer group (20%),100% median,≥120% median,TSR vs. peer group (40%),100% weighted average,≥120% weighted average
,Vesting percentage,50%,100%,Vesting percentage,100%,150%
,,,,Gap to competition (40%),100% of target,120% of target
,ESG (30%),,100% of target,Vesting percentage,100%,150%
,,,,ESG (20%),"100% of target
100%","120% of target
150%"
,,,,,,
,Vesting percentage 100%,,,. RSUs with a three year vesting period,,
