0,1,2,3,4,5,6,7
,% of Ownership Interest,2023,,2022,,2021,
,,ROM Millions of Tonnes1,Product Millions of Tonnes1,ROM Millions of Tonnes,Product Millions of Tonnes,ROM Millions of Tonnes,Product Millions of Tonnes
AMKR Open Pit,95.1,,,,,,
At 100% basis,,11.1,4.6,11.3,4.5,25.7,11.0
At the ownership interest,,10.6,4.4,10.7,4.3,24.4,10.5
AMKR Underground,95.1,,,,,,
At 100% basis,,0.3,0.3,0.4,0.4,0.7,0.7
At the ownership interest,,0.3,0.3,0.3,0.4,0.7,0.7
ArcelorMittal Temirtau Open Pit,,,,,,,
"(Lisakovsk, Kentobe and Atansor)1",100.0,,,,,,
At 100% basis,,2.2,1.4,2.5,1.4,3.6,1.8
ArcelorMittal Temirtau Underground (Atasu)1,100.0,,,,,,
At 100% basis,,1.6,1.0,2.0,1.3,1.8,1.5
ACIS at 100% basis,,15.2,7.3,16.2,7.6,31.7,14.9
ACIS at the ownership interest,,14.7,7.1,15.5,7.4,30.5,14.4
